ID,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net ,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
393,Ankara,Keçiören,Ayvalı,134216-103,08-04-2023,4,140,Kot 2,20,Kombi,4,Eşyalı Değil,1,,İkinci El,Boş,100,"Güney, Doğu, Batı","7,000",Doğalgaz,Evet,"6,900",,,,,
394,Ankara,Mamak,Bayındır,121128-1987,08-04-2023,6,230,3,7,Kombi,3,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Güney,,Doğalgaz,Evet,"11,000",,,,,
395,Ankara,Mamak,Tuzluçayır,104775-4813,08-04-2023,3,105,Yüksek Giriş,17,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50,"Kuzey, Güney, Doğu, Batı","6,000",Doğalgaz,Evet,"6,000",,,,,
396,Ankara,Çankaya,Gökkuşağı,10557-3464,08-04-2023,5,170,2,10,Kombi,5,Eşyalı Değil,2,Betonarme,İkinci El,Boş,250,"Kuzey, Batı","16,000",Doğalgaz,,"15,500",,,,,
397,Ankara,Çankaya,İlkbahar,14072-12629,07-04-2023,5,210,7,3,Merkezi (Pay Ölçer),16,Eşyalı Değil,1,Betonarme,,Boş,,"Güney, Batı","57,000",Doğalgaz,Evet,"28,000",Başkent Emlak Konutları,,,,
398,Ankara,Yenimahalle,Emniyet,137003-3,08-04-2023,2,65,Ara Kat,0,Merkezi (Pay Ölçer),10,Eşyalı Değil,1,Betonarme,Sıfır,Boş,"2,400","Güney, Doğu, Batı","12,000",Doğalgaz,Evet,"12,000",,,,,
399,Ankara,Çankaya,Oran,57012-6595,05-04-2023,6,315,21 ve üzeri,11,Merkezi (Pay Ölçer),30,Eşyalı Değil,3,,,Boş,3-May,"Güney, Doğu, Batı",,,,"75,000",Park Oran Konutları,Uygun değil,,,
400,Ankara,Mamak,Hüseyingazi,136759-30,09-04-2023,4,125,1,15,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50,Güney,"7,500",Doğalgaz,Evet,"7,800",,,,,
401,Ankara,Çankaya,Keklik Pınarı,36851-23278,09-04-2023,4,130,Giriş Katı,15,Kombi,4,Eşyalı,1,Betonarme,İkinci El,Boş,,"Güney, Doğu","12,000",Doğalgaz,Evet,"12,000",,,,,
402,Ankara,Keçiören,Atapark,132036-397,09-04-2023,4,135,En Üst Kat,15,Kombi,4,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100,"Güney, Doğu, Batı","10,000",Doğalgaz,Evet,"8,250",,,,,
403,Ankara,Yenimahalle,Güzelyaka,135758-36,10-04-2023,6,230,14,1,Kombi,17,Eşyalı Değil,2,,Betonarme,Kiracılı,300,"Güney, Doğu, Batı","12,000",Doğalgaz,,"12,000",,,,Hayır,
404,Ankara,Çankaya,Maltepe,7655-1481,08-04-2023,4,120,1,30,Kombi,4,Eşyalı Değil,1,Betonarme,İkinci El,Boş,150,"Güney, Doğu","11,000",,Evet,"11,000",,,,,
405,Ankara,Keçiören,Etlik,129460-203,10-04-2023,2,95,Kot 1,30,Kombi,3,Eşyalı,1,Betonarme,İkinci El,Boş,60,"Kuzey, Güney, Doğu, Batı","8,500",,Evet,"8,500",,,,,
406,Ankara,Çankaya,Alacaatlı,4744-11014,09-04-2023,5,230,18,3,Merkezi (Pay Ölçer),35,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,"Güney, Doğu, Batı",,Doğalgaz,Evet,"29,500",,,,,
407,Ankara,Yenimahalle,Susuz,110538-1964,06-04-2023,5,180,2,3,Kombi,9,Eşyalı Değil,2,Betonarme,İkinci El,Boş,250,"Güney, Batı","30,000",Doğalgaz,Evet,"15,500",,,,,
408,Ankara,Çankaya,İlkadım,95616-224,10-04-2023,3,98,1,25,Merkezi,10,Eşyalı,1,Betonarme,İkinci El,Boş,900,"Güney, Doğu","15,000",Doğalgaz,Evet,"13,000",,,,,
409,Ankara,Keçiören,Esertepe,133497-192,06-04-2023,3,110,3,25,Kombi,3,Eşyalı,2,Betonarme,İkinci El,Boş,100,"Güney, Doğu, Batı","9,500",Doğalgaz,Evet,"7,500",,,,,
410,Ankara,Çankaya,Kızılırmak,3920-9917,07-04-2023,4,176,17,10,Merkezi,30,Eşyalı Değil,2,,İkinci El,Boş,"1,900",Batı,"28,500",Doğalgaz,,"28,500",,,,,
411,Ankara,Çankaya,İlkadım,16761-31337,10-04-2023,4,125,3,25,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100,"Kuzey, Batı","11,000",Doğalgaz,Evet,"10,750",,,,,
412,Ankara,Çankaya,Bahçelievler,87775-519,08-04-2023,4,140,2,25,Kombi,3,Eşyalı Değil,2,,İkinci El,Boş,150,"Güney, Doğu, Batı","16,000",Doğalgaz,Evet,"16,000",,,,,
413,Ankara,Çankaya,Yaşamkent,4209-2227,10-04-2023,6,350,,12,Kat Kaloriferi,4,Eşyalı,3,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı","60,000",Akaryakıt,Evet,"30,000",,,,,
414,Ankara,Mamak,Demirlibahçe,131828-240,08-04-2023,3,80,Kot 2,25,Kombi,4,Eşyalı,1,Betonarme,İkinci El,Boş,,Güney,"7,500",Doğalgaz,Evet,"5,000",,,,,
415,Ankara,Gölbaşı,Gaziosmanpaşa,96629-734,10-04-2023,8,"2,000",,11,Merkezi,5,Eşyalı,5,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı","190,000",Doğalgaz,Evet,"190,000",,,,,
416,Ankara,Çankaya,Murat,26985-2658,05-04-2023,4,100,Yüksek Giriş,20,Kombi,7,Eşyalı,1,Betonarme,İkinci El,Boş,50,"Güney, Doğu, Batı","10,000",Doğalgaz,Evet,"7,500",,,Kat Mülkiyeti,,
417,Ankara,Çankaya,Yıldızevler,6632-1639,09-04-2023,4,120,5,40,Merkezi,8,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,"2,500","Kuzey, Güney, Doğu","15,000",Doğalgaz,Evet,"13,000",BASIN SİTESİ,,,,
418,Ankara,Çankaya,Mürsel Uluç,41553-6871,07-04-2023,3,125,4,0,Kombi,4,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100,Doğu,"9,500",Doğalgaz,Evet,"9,500",,,,,
419,Ankara,Çankaya,Ümit,7524-5264,10-04-2023,5,160,4,25,Merkezi,16,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,"3,300",,"14,500",Doğalgaz,,"14,500",,,,,
420,Ankara,Yenimahalle,Emniyet,122234-333,08-04-2023,5,221,20,0,Merkezi (Pay Ölçer),37,Eşyalı Değil,4,,Sıfır,Boş,,"Güney, Batı",,,Evet,"20,000",,,,,
421,Ankara,Etimesgut,Altay,32249-5745,05-04-2023,4,117,7,23,Merkezi (Pay Ölçer),14,Eşyalı Değil,1,Betonarme,İkinci El,Boş,388,"Güney, Doğu, Batı","13,500",Doğalgaz,Evet,"13,500",Sutek Blokları,,,,
422,Ankara,Çankaya,Kırkkonaklar,19538-3511,07-04-2023,6,350,2,13,Kombi,2,,4,,,Boş,,"Doğu, Batı","17,000",,Evet,"17,000",,,,,
423,Ankara,Çankaya,Büyükesat,7677-4630,10-04-2023,4,160,1,25,Merkezi,3,Eşyalı,1,Betonarme,İkinci El,Boş,950,,,Doğalgaz,,"20,000",,,,,
424,Ankara,Çankaya,Remzi Oğuz Arık,37380-3923,10-04-2023,4,260,5,25,Kombi,5,Eşyalı,2,Betonarme,İkinci El,Boş,,"Güney, Doğu, Batı",,Doğalgaz,Evet,"19,500",,,,,
425,Ankara,Çankaya,Oğuzlar,17197-2280,10-04-2023,4,100,Yüksek Giriş,27,Merkezi,2,Eşyalı,1,Betonarme,İkinci El,Boş,500,"Kuzey, Batı",,Doğalgaz,Evet,"15,000",Evet (Site Adı Belirtilmemiş),,,,
426,Ankara,Çankaya,Seyranbağları,9937-2382,08-04-2023,3,100,Giriş Katı,30,Kombi,2,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40,Doğu,"17,000",Doğalgaz,,"8,500",,,,,
427,Ankara,Etimesgut,Bağlıca,1810-4141,06-04-2023,5,185,12,5,Merkezi (Pay Ölçer),13,Eşyalı,2,,,Kiracılı,930,"Doğu, Batı",,,,"19,500",Bağlıca Botanik Park Konutları,Uygun değil,,,
428,Ankara,Keçiören,İncirli,95656-1264,09-04-2023,3,115,En Üst Kat,25,Kombi,3,Eşyalı,1,Betonarme,Sıfır,Boş,80,"Güney, Batı","14,000",Doğalgaz,Evet,"14,000",,,,,
429,Ankara,Etimesgut,Atakent,113388-1804,08-04-2023,3,110,2,20,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğu,"7,000",Doğalgaz,Evet,"7,000",,,,,
430,Ankara,Çankaya,Çukurambar,6666-2919,06-04-2023,5,190,8,17,Kombi,9,Eşyalı,2,Betonarme,İkinci El,Kiracılı,500,"Güney, Doğu","49,000",Doğalgaz,,"24,500",,,,,
431,Ankara,Çankaya,Çankaya,2603-4446,10-04-2023,4,120,3,35,Merkezi,10,Eşyalı,1,Betonarme,İkinci El,,"3,000","Güney, Batı","25,000",Doğalgaz,Evet,"12,500",,,,,
432,Ankara,Etimesgut,Şeyh Şamil,29364-19757,10-04-2023,3,100,3,25,Kombi,5,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,"Doğu, Batı",,Doğalgaz,Evet,"8,500",Alarko Sitesi,,,,
433,Ankara,Keçiören,Uyanış,79717-1309,09-04-2023,4,130,3,20,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40,Doğu,"7,250",Doğalgaz,Evet,"7,250",,,,,
