,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Yakıt Tipi,Yetkili Ofis,Rent,Tapu Durumu,Takas,Kira Getirisi,Site İçerisinde
8902,Ankara,Çankaya,Sokullu Mehmet Paşa,56732-294,08-04-2023,3 + 1,110 m2,Kot 1,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracılı,100 TL,Güney,Doğalgaz,Evet,1.590.000 TL,Kat Mülkiyeti,Evet,14.000 TL,
8903,Ankara,Çankaya,Kızılay,118719-165,07-04-2023,3 + 1,145 m2,5. Kat,40 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,,"Güney, Doğu",Doğalgaz,Evet,1.900.000 TL,Kat Mülkiyeti,,7.500 TL,
8904,Ankara,Yenimahalle,Serhat,14912-3681,10-04-2023,4 + 1,200 m2,12. Kat,14 Yaşında,Kombi,16 Katlı,Uygun,,2,,,Mülk Sahibi,800 TL,"Güney, Doğu",,Evet,4.190.000 TL,Kat Mülkiyeti,,,
8905,Ankara,Sincan,Fevzi Çakmak,124319-436,23-03-2023,3 + 1,145 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,,"Doğu, Batı",,,1.749.000 TL,Kat Mülkiyeti,Evet,,
8906,Ankara,Çankaya,Koru,10144-6589,26-03-2023,3 + 1,120 m2,2. Kat,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Güney,Doğalgaz,Evet,2.675.000 TL,Kat Mülkiyeti,Hayır,7.000 TL,
8907,Ankara,Çankaya,Aşıkpaşa,23739-2296,11-04-2023,3 + 1,110 m2,Çatı Katı,13 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,100 TL,Batı,Doğalgaz,Evet,2.250.000 TL,,,,
8908,Ankara,Keçiören,Yayla,36347-1453,11-04-2023,7 + 1,260 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,,Doğalgaz,,3.100.000 TL,,,,
8909,Ankara,Çankaya,Anıttepe,99741-726,29-03-2023,4 + 1,165 m2,2. Kat,31 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,750 TL,"Kuzey, Doğu, Batı",Doğalgaz,Evet,3.250.000 TL,Kat Mülkiyeti,Hayır,10.000 TL,
8910,Ankara,Çankaya,Ata,10557-3425,09-04-2023,3 + 1,140 m2,3. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,Doğu,Doğalgaz,Evet,2.750.000 TL,Kat Mülkiyeti,Hayır,800 TL,
8911,Ankara,Sincan,Plevne,129583-277,13-04-2023,3 + 1,120 m2,13. Kat,Sıfır Bina,Merkezi (Pay Ölçer),13 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Boş,100 TL,"Güney, Doğu",Doğalgaz,Evet,1.955.000 TL,Kat İrtifakı,Evet,8.000 TL,
8912,Ankara,Mamak,Dutluk,45607-2218,10-04-2023,3 + 1,138 m2,6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,209 TL,"Kuzey, Güney, Batı",Doğalgaz,Evet,1.250.000 TL,Kat Mülkiyeti,Hayır,4.000 TL,Dutluk Toki'de
