,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Kullanım Durumu,Takas,Cephe,Rent,Tapu Durumu,Yapı Tipi,Yapının Durumu,Aidat,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Site İçerisinde
597,Ankara,Çankaya,Aydınlar,2602-9424,13-04-2023,3 + 1,130 m2,2. Kat,27 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Hayır,"Güney, Batı",2.500.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,10.000 TL,Doğalgaz,Evet,
598,Ankara,Mamak,Derbent,136759-66,13-04-2023,2 + 1,95 m2,Kot 1,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Boş,Evet,Güney,950.000 TL,,Betonarme,İkinci El,50 TL,,Doğalgaz,Evet,
599,Ankara,Pursaklar,Yunus Emre,66315-1548,13-04-2023,4 + 1,190 m2,1. Kat,4 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı,2,,Hayır,Doğu,2.350.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,10.000 TL,Doğalgaz,Evet,
600,Ankara,Çankaya,Metin Akkuş,5449-2907,13-04-2023,3 + 1,120 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Güney, Batı",2.695.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,12.000 TL,Doğalgaz,Evet,
601,Ankara,Gölbaşı,Bahçelievler,134558-68,13-04-2023,3 + 1,168 m2,2. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Boş,,Güney,3.300.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,,,Doğalgaz,,
602,Ankara,Keçiören,Kanuni,129976-589,13-04-2023,3 + 1,140 m2,4. Kat,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Mülk Sahibi,Hayır,"Güney, Doğu, Batı",1.730.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,75 TL,7.500 TL,Doğalgaz,Evet,
603,Ankara,Mamak,Kutlu,134058-81,13-04-2023,3 + 1,120 m2,Kot 1,8 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Evet,"Kuzey, Güney, Doğu",845.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,5.000 TL,Doğalgaz,Evet,
604,Ankara,Mamak,Çağlayan,112265-1531,13-04-2023,4 + 1,250 m2,3. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Kiracılı,Hayır,"Güney, Doğu",1.750.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,5.000 TL,Doğalgaz,Evet,
605,Ankara,Pursaklar,Fatih,2545-7015,13-04-2023,3 + 1,130 m2,1. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Evet,,1.595.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,,
606,Ankara,Çankaya,Sancak,47897-1987,13-04-2023,5 + 1,350 m2,En Üst Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Mülk Sahibi,,"Kuzey, Güney, Doğu",7.850.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,250 TL,25.000 TL,Doğalgaz,Evet,
