,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Tapu Durumu,Site İçerisinde,Yakıt Tipi,Yetkili Ofis,Metro İstasyonu,Durak (Otobüs),Durak (Minibüs),Otogar,Hastane,Acil Servis,Aile Sağlığı Merkezi,Sağlık Kurumları/Diğer,Üniversite,Üniversite Kampüs,İlkokul,Lise,Zincir Marketler,Bakkal/Market,Alışveriş Merkezi,Şarküteri,Rent,Kullanım Durumu,Takas,Kira Getirisi,Aidat,Cephe,Havaalanı,Gar,Poliklinik,Yüksek Okul/Akademi,Ortaokul,Gıda Satış Noktaları,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Tren İstasyonu/Şehiriçi,Tren İstasyonu/Şehirlerarası,Veteriner,Kreş/Gündüz Bakımevi
181,Ankara,Keçiören,Karakaya,131302-480,04-05-2023,3 + 1,130 m2,3. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,,Doğalgaz,,"5,8 km",147 m,"1,4 km",,"4,3 km","1,8 km",232 m,"4,3 km",6 km,6 km,379 m,702 m,122 m,123 m,"3,8 km",79 m,1.649.000 TL,Boş,,,,,"14,7 km",,,,,,,,,,,,
182,Ankara,Mamak,Mutlu,63484-4529,11-04-2023,3 + 1,122 m2,3. Kat,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,8 km",22 m,263 m,8 km,"1,3 km","1,3 km",229 m,"1,9 km","4,4 km","3,7 km",332 m,824 m,146 m,123 m,"2,9 km",303 m,1.530.000 TL,Boş,Hayır,,,"Güney, Doğu",,,,,,,,,,,,,
183,Ankara,Mamak,Karaağaç,63484-4540,29-04-2023,3 + 1,118 m2,1. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,,,,,,,,,,,,,,,,,1.280.000 TL,Boş,Hayır,,,"Güney, Doğu",,,,,,,,,,,,,
184,Ankara,Yenimahalle,Yeni Batı,89065-259,30-04-2023,4 + 1,170 m2,4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,,,,,,,,,,,,,,,,,3.990.000 TL,Boş,Evet,8.000 TL,,"Güney, Doğu",,,,,,,,,,,,,
185,Ankara,Etimesgut,Yeni Bağlıca,89065-232,05-03-2023,5 + 1,340 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Kat Mülkiyeti,Evet (Site Adı Belirtilmemiş),Doğalgaz,Evet,"4,9 km",270 m,"4,8 km","15,4 km","4,6 km","5,4 km",683 m,"1,5 km","2,6 km","8,4 km",348 m,435 m,639 m,"1,1 km","3,9 km",812 m,13.000.000 TL,Boş,Evet,18.000 TL,250 TL,"Kuzey, Güney, Doğu, Batı",,,,,,,,,,,,,
186,Ankara,Yenimahalle,Yeni Batı,89065-121,04-05-2023,3 + 1,148 m2,,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Kat İrtifakı,Evet (Site Adı Belirtilmemiş),Doğalgaz,Evet,2 km,174 m,"4,7 km","10,8 km","1,7 km","1,6 km","1,6 km","1,4 km","1,3 km","7,5 km",559 m,"1,1 km",771 m,34 m,"2,4 km",325 m,4.900.000 TL,Boş,Evet,3.000 TL,150 TL,"Kuzey, Güney, Doğu, Batı",,,,,,,,,,,,,
187,Ankara,Çankaya,Alacaatlı,1889-258,03-05-2023,4 + 1,220 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),,Uygun,Eşyalı Değil,2,,,,,,,"4,3 km",8 m,"5,3 km","14,1 km","1,9 km","1,9 km",444 m,"2,6 km","4,4 km","5,4 km",65 m,70 m,730 m,104 m,"3,7 km",98 m,5.350.000 TL,,,,,,,,,,,,,,,,,,
188,Ankara,Çankaya,Alacaatlı,1889-277,03-05-2023,4 + 1,180 m2,1. Kat,2 Yaşında,Merkezi (Pay Ölçer),25 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,,ankalife prestij,Doğalgaz,Evet,,,,,,,,,,,,,,,,,5.850.000 TL,Mülk Sahibi,Hayır,,650 TL,,,,,,,,,,,,,,
189,Ankara,Keçiören,Ovacık,5116-877,27-04-2023,4 + 1,230 m2,3. Kat,2 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,2 km",84 m,"2,4 km",,"2,4 km","2,3 km",585 m,"2,3 km","1,9 km","3,3 km",276 m,316 m,887 m,718 m,697 m,890 m,6.249.000 TL,Mülk Sahibi,Evet,10.000 TL,350 TL,"Güney, Doğu, Batı","17,9 km",,,,,,,,,,,,
190,Ankara,Yenimahalle,Güventepe,5116-848,15-04-2023,3 + 1,165 m2,2. Kat,8 Yaşında,Yerden Isıtma,17 Katlı,Uygun,,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"1,6 km",224 m,"1,1 km","4,6 km","1,8 km","1,8 km",448 m,917 m,2 km,"2,4 km",365 m,623 m,60 m,81 m,"1,9 km",237 m,2.399.000 TL,Kiracılı,Evet,6.000 TL,350 TL,"Güney, Doğu, Batı",,,,,,,,,,,,,
191,Ankara,Gölbaşı,Karşıyaka,5116-731,27-04-2023,2 + 1,65 m2,2. Kat,Sıfır Bina,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"12,4 km",153 m,"2,2 km","13,6 km","1,7 km",570 m,166 m,474 m,"6,6 km","1,8 km",171 m,132 m,71 m,213 m,333 m,153 m,3.149.000 TL,Boş,Evet,10.000 TL,75 TL,"Güney, Doğu, Batı",,,,,,,,,,,,,
192,Ankara,Yenimahalle,Güventepe,5116-848,15-04-2023,3 + 1,165 m2,2. Kat,8 Yaşında,Yerden Isıtma,17 Katlı,Uygun,,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"1,6 km",224 m,"1,1 km","4,6 km","1,8 km","1,8 km",448 m,917 m,2 km,"2,4 km",365 m,623 m,60 m,81 m,"1,9 km",237 m,2.399.000 TL,Kiracılı,Evet,6.000 TL,350 TL,"Güney, Doğu, Batı",,,,,,,,,,,,,
193,Ankara,Gölbaşı,Karşıyaka,5116-731,27-04-2023,2 + 1,65 m2,2. Kat,Sıfır Bina,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,,,,,,,,,,,,,,,,,3.149.000 TL,Boş,Evet,10.000 TL,75 TL,"Güney, Doğu, Batı",,,,,,,,,,,,,
