,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
0,Ankara,Çankaya,Çankaya,4068-2746,06-04-2023,2 + 1,90 m2,5. Kat,30 Yaşında,Merkezi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,"Güney, Doğu, Batı",14.000 TL,Doğalgaz,Evet,14.500 TL,,,,,
1,Ankara,Çankaya,Bahçelievler,4094-1438,11-04-2023,3 + 1,135 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,150 TL,"Güney, Doğu, Batı",17.500 TL,Doğalgaz,Evet,17.500 TL,,,,,
2,Ankara,Çankaya,Maltepe,2533-2461,11-04-2023,1 + 1,60 m2,Yüksek Giriş,6 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Güney,21.000 TL,Doğalgaz,Evet,10.500 TL,,,,,
3,Ankara,Etimesgut,Turkuaz,123623-791,10-04-2023,2 + 1,100 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Kiracılı,1 TL,,22.000 TL,Doğalgaz,Evet,10.250 TL,,,,,
4,Ankara,Çankaya,Osman Temiz,46649-9891,10-04-2023,4 + 1,165 m2,2. Kat,22 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Batı",12.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
5,Ankara,Çankaya,Çiğdem,6632-1819,11-04-2023,3 + 1,150 m2,,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,650 TL,"Güney, Doğu",30.000 TL,Doğalgaz,Evet,18.500 TL,"Ortadoğu Çamlık Sitesi (Ankara, Çankaya, Çiğdem)",,,,
6,Ankara,Çankaya,Aziziye,6632-1809,11-04-2023,3 + 1,150 m2,En Üst Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,500 TL,"Kuzey, Doğu, Batı",30.000 TL,Doğalgaz,Evet,17.500 TL,,,,,
7,Ankara,Çankaya,Güvenevler,16814-6938,11-04-2023,1 + 1,65 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,450 TL,"Güney, Doğu",14.000 TL,Doğalgaz,Evet,14.000 TL,,,,,
8,Ankara,Çankaya,Mutlukent,41876-3957,05-04-2023,6 + 1,620 m2,,19 Yaşında,Kombi,4 Katlı,,4,Betonarme,İkinci El,Mülk Sahibi,600 TL,"Kuzey, Güney, Doğu, Batı",116.000 TL,Doğalgaz,Evet,58.000 TL,,,,,
9,Ankara,Çankaya,Akpınar,135436-12,11-04-2023,3 + 1,110 m2,2. Kat,10 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,150 TL,"Kuzey, Doğu",10.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
10,Ankara,Çankaya,Oran,2800-3327,11-04-2023,4 + 1,211 m2,21 ve üzeri,12 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,33.000 TL,Park Oran Konutları,,,,
11,Ankara,Etimesgut,Altay,53646-6962,11-04-2023,1 + 1,60 m2,3. Kat,8 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,690 TL,Batı,9.750 TL,Doğalgaz,Evet,9.750 TL,Fırat Life Style,,,,
12,Ankara,Etimesgut,Devlet,2888-14821,11-04-2023,2 + 1,116 m2,Giriş Katı,1 Yaşında,Merkezi (Pay Ölçer),32 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,545 TL,,12.500 TL,Doğalgaz,Evet,12.500 TL,,,,,
13,Ankara,Keçiören,Şefkat,86676-1588,11-04-2023,6 + 1,280 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,150 TL,"Güney, Batı",10.500 TL,Doğalgaz,Evet,10.500 TL,,,,,
14,Ankara,Çankaya,İlkbahar,137010-5,11-04-2023,4 + 1,149 m2,4. Kat,5 Yaşında,Merkezi,14 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,"Güney, Doğu, Batı",76.000 TL,,Evet,38.000 TL,,,,,
15,Ankara,Çankaya,Yücetepe,11065-1925,11-04-2023,2 + 1,100 m2,2. Kat,52 Yaşında,Merkezi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,1.950 TL,"Doğu, Batı",24.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
16,Ankara,Yenimahalle,Demetlale,115196-159,11-04-2023,3 + 1,115 m2,2. Kat,39 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Batı,8.500 TL,Doğalgaz,Evet,8.500 TL,,,,,
17,Ankara,Çankaya,Kavaklıdere,6453-2659,11-04-2023,3 + 1,140 m2,1. Kat,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,150 TL,"Güney, Doğu, Batı",12.500 TL,Doğalgaz,Evet,12.500 TL,,,,,
18,Ankara,Çankaya,Yukarı Bahçelievler,2250-3094,11-04-2023,2 + 1,75 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,,,"Kuzey, Güney, Batı",12.500 TL,Doğalgaz,Evet,12.500 TL,,,,,
19,Ankara,Çankaya,Oran,43014-2684,11-04-2023,12 + 3,1.750 m2,,15 Yaşında,Kombi,4 Katlı,Eşyalı,8,Betonarme,,Boş,,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,200.000 TL,,,,,
20,Ankara,Çankaya,İlkbahar,96629-707,11-04-2023,3 + 1,125 m2,13. Kat,4 Yaşında,Merkezi (Pay Ölçer),28 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,350 TL,"Güney, Doğu",40.000 TL,Doğalgaz,Evet,20.000 TL,,,,,
21,Ankara,Çankaya,Kavaklıdere,26985-2656,11-04-2023,3 + 1,150 m2,1. Kat,19 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,800 TL,"Güney, Doğu, Batı",9.500 TL,Doğalgaz,Evet,14.500 TL,,,,,
22,Ankara,Çankaya,Beytepe,56708-811,11-04-2023,1 + 1,84 m2,2. Kat,5 Yaşında,Merkezi (Pay Ölçer),20 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,1.900 TL,"Güney, Doğu",11.500 TL,Doğalgaz,Evet,11.500 TL,Mıavıta Beytepe Rezidans,,,,
23,Ankara,Çankaya,Yukarı Bahçelievler,1124-5557,11-04-2023,2 + 1,90 m2,1. Kat,7 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Batı",12.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
24,Ankara,Yenimahalle,Emniyet,4005-557,11-04-2023,2 + 1,130 m2,21 ve üzeri,Sıfır Bina,Merkezi,30 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,1 TL,"Güney, Doğu, Batı",20.000 TL,Doğalgaz,Evet,20.000 TL,Merkez Ankara Konutları,,,,
25,Ankara,Çankaya,Emek,14347-1283,11-04-2023,1 + 1,65 m2,2. Kat,4 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,150 TL,"Güney, Batı",15.000 TL,Doğalgaz,Evet,13.500 TL,,,,,
26,Ankara,Çankaya,Yukarı Dikmen,120352-433,11-04-2023,3 + 1,205 m2,Giriş Katı,15 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,250 TL,"Güney, Doğu, Batı",15.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
27,Ankara,Çankaya,Emek,1145-2236,11-04-2023,2 + 1,110 m2,Yüksek Giriş,17 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,200 TL,"Güney, Doğu",12.500 TL,Doğalgaz,Evet,12.500 TL,,,,,
28,Ankara,Çankaya,Cevizlidere,10557-3143,11-04-2023,4 + 1,180 m2,8. Kat,22 Yaşında,Kombi,9 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,500 TL,"Güney, Doğu",14.000 TL,Doğalgaz,,14.000 TL,,,,,
29,Ankara,Keçiören,Emrah,95656-1261,11-04-2023,3 + 1,135 m2,En Üst Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,80 TL,"Güney, Batı",11.000 TL,Doğalgaz,Evet,11.000 TL,,,,,
30,Ankara,Mamak,Cengizhan,3620-9729,11-04-2023,2 + 1,125 m2,7. Kat,2 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,785 TL,"Kuzey, Doğu",20.000 TL,Doğalgaz,Evet,13.000 TL,AKADİAMODERN,,,,
31,Ankara,Çankaya,Alacaatlı,6310-18879,11-04-2023,2 + 1,145 m2,7. Kat,5 Yaşında,Kombi,11 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1.000 TL,"Güney, Doğu, Batı",,Doğalgaz,Evet,20.000 TL,Sinpaş İncek Green,,,,
32,Ankara,Çankaya,Yukarı Öveçler,3920-10000,11-04-2023,1 + 1,65 m2,8. Kat,16 Yaşında,Merkezi (Pay Ölçer),9 Katlı,,1,Betonarme,,,500 TL,Batı,,Doğalgaz,Evet,9.000 TL,,,,,
33,Ankara,Çankaya,Birlik,69567-1278,11-04-2023,3 + 1,135 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,,İkinci El,Boş,100 TL,"Doğu, Batı",12.500 TL,Doğalgaz,Evet,11.500 TL,,,,,
34,Ankara,Mamak,Balkiraz,129644-7833,11-04-2023,2 + 1,85 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,80 TL,Güney,4.750 TL,Doğalgaz,Evet,4.750 TL,,,,,
35,Ankara,Çankaya,Çukurambar,12670-3076,11-04-2023,4 + 1,190 m2,4. Kat,25 Yaşında,Kombi,6 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,900 TL,"Güney, Doğu",44.000 TL,Doğalgaz,Evet,19.000 TL,,,,,
36,Ankara,Çankaya,Bayraktar,18887-7487,11-04-2023,3 + 1,155 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Ahşap,İkinci El,Boş,200 TL,"Kuzey, Güney, Doğu, Batı",14.000 TL,Doğalgaz,Evet,14.000 TL,,,,,
37,Ankara,Etimesgut,Altay,53646-6960,11-04-2023,1 + 1,60 m2,13. Kat,8 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,690 TL,Güney,9.250 TL,Doğalgaz,Evet,9.250 TL,,,,,
38,Ankara,Çankaya,Büyükesat,43014-2708,11-04-2023,2 + 1,110 m2,Ara Kat,6 Yaşında,Merkezi (Pay Ölçer),35 Katlı,Eşyalı,2,Betonarme,,Boş,,Doğu,,,Evet,30.000 TL,Mesa Koza 66,,,,
39,Ankara,Çankaya,Osman Temiz,95616-230,11-04-2023,3 + 1,115 m2,Ara Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Belirtilmemiş,50 TL,"Kuzey, Batı",9.000 TL,Doğalgaz,Evet,9.000 TL,,,,,
40,Ankara,Çankaya,Mutlukent,73240-2231,11-04-2023,10 + 1,1.250 m2,,10 Yaşında,Kombi,5 Katlı,Eşyalı Değil,5,Betonarme,Sıfır,Boş,50 TL,"Kuzey, Güney, Doğu, Batı",200.000 TL,Doğalgaz,Evet,200.000 TL,,,,,
41,Ankara,Çankaya,Balgat,44819-1954,11-04-2023,2 + 1,100 m2,Kot 1,31 Yaşında,Merkezi,2 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,980 TL,"Güney, Doğu",9.750 TL,Doğalgaz,Evet,9.500 TL,,,,,
42,Ankara,Çankaya,Güvenevler,11065-1926,11-04-2023,3 + 1,120 m2,4. Kat,45 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,900 TL,"Kuzey, Doğu",20.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
43,Ankara,Mamak,Ege,25673-6825,11-04-2023,2 + 1,85 m2,Bahçe Katı,10 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,,"Güney, Batı",3.500 TL,Doğalgaz,Evet,3.500 TL,,,,,
44,Ankara,Keçiören,Yeşiltepe,5338-7338,11-04-2023,4 + 1,160 m2,5. Kat,15 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,300 TL,Batı,10.000 TL,Doğalgaz,Evet,9.700 TL,,,,,
45,Ankara,Keçiören,İncirli,17616-765,11-04-2023,3 + 1,110 m2,En Üst Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Batı,2.500 TL,Doğalgaz,Evet,10.000 TL,,,,,
46,Ankara,Çankaya,Güvenevler,7092-1413,11-04-2023,3 + 1,135 m2,3. Kat,40 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,150 TL,"Güney, Doğu",11.500 TL,Doğalgaz,Evet,11.500 TL,,,,,
47,Ankara,Çankaya,Mürsel Uluç,6310-19000,11-04-2023,1 + 1,75 m2,1. Kat,5 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,150 TL,Batı,11.000 TL,Doğalgaz,Evet,11.000 TL,,,,,
48,Ankara,Yenimahalle,Ergazi,41980-1559,11-04-2023,1 + 1,55 m2,3. Kat,3 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,695 TL,Batı,8.500 TL,Doğalgaz,Evet,8.500 TL,,,,,
49,Ankara,Çankaya,Aziziye,8006-792,11-04-2023,2 + 1,85 m2,Teras Katı,Sıfır Bina,Merkezi (Pay Ölçer),5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,,410 TL,"Güney, Doğu, Batı",12.500 TL,Doğalgaz,Evet,14.500 TL,,,,,
50,Ankara,Etimesgut,Altay,53646-6959,11-04-2023,1 + 1,60 m2,9. Kat,8 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,690 TL,Güney,7.250 TL,Doğalgaz,Evet,7.250 TL,Fırat Life Style,,,,
51,Ankara,Keçiören,Kafkas,126448-188,11-04-2023,3 + 1,120 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,50 TL,Güney,5.500 TL,Doğalgaz,Evet,5.500 TL,,,,,
52,Ankara,Gölbaşı,İncek,43014-2443,11-04-2023,7 + 1,700 m2,,8 Yaşında,Merkezi (Pay Ölçer),3 Katlı,Eşyalı Değil,5,,,,,,,,Evet,78.000 TL,Evet (Site Adı Belirtilmemiş),,,,
53,Ankara,Yenimahalle,Ragıp Tüzün,106733-438,11-04-2023,2 + 1,75 m2,1. Kat,26 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Güney,6.600 TL,Doğalgaz,Evet,6.100 TL,,,,,
54,Ankara,Çankaya,Büyükesat,18887-7489,11-04-2023,2 + 1,110 m2,Bahçe Katı,28 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Ahşap,İkinci El,Boş,1.800 TL,"Kuzey, Güney, Doğu, Batı",9.500 TL,Doğalgaz,Evet,9.500 TL,,,,,
55,Ankara,Keçiören,Etlik,135323-84,11-04-2023,3 + 1,122 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,"Güney, Doğu, Batı",6.900 TL,Doğalgaz,Evet,6.900 TL,,,,,
56,Ankara,Sincan,Mareşal Çakmak,16429-683,11-04-2023,3 + 1,115 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,150 TL,"Güney, Doğu",9.000 TL,Doğalgaz,Evet,9.000 TL,,,,,
57,Ankara,Çankaya,Oğuzlar,5554-4695,11-04-2023,3 + 1,115 m2,En Üst Kat,30 Yaşında,Merkezi,2 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Batı,10.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
58,Ankara,Yenimahalle,Turgut Özal,118279-335,11-04-2023,1 + 1,65 m2,16. Kat,4 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı Değil,1,,Sıfır,Boş,1.028 TL,"Güney, Doğu",20.000 TL,Elektrik,Evet,10.000 TL,,,,,
59,Ankara,Çankaya,Mürsel Uluç,6310-18999,11-04-2023,3 + 1,120 m2,9. Kat,30 Yaşında,Kombi,9 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,150 TL,"Doğu, Batı",11.000 TL,Doğalgaz,Evet,11.000 TL,Türkop Sitesi,,,,
60,Ankara,Çankaya,İşçi Blokları,99741-734,11-04-2023,2 + 1,100 m2,4. Kat,4 Yaşında,Yerden Isıtma,13 Katlı,Eşyalı,2,Betonarme,İkinci El,Kiracılı,1.650 TL,"Kuzey, Güney, Batı",20.000 TL,Doğalgaz,Evet,19.000 TL,,,,,
61,Ankara,Yenimahalle,Demetlale,6391-4365,11-04-2023,2 + 1,95 m2,2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,55 TL,Güney,8.500 TL,Doğalgaz,,8.500 TL,,,,,
62,Ankara,Çankaya,Birlik,15736-2899,11-04-2023,4 + 1,190 m2,1. Kat,20 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,,,Boş,100 TL,,,,,11.500 TL,,,,,
63,Ankara,Çankaya,Emek,73240-2230,11-04-2023,4 + 1,185 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,250 TL,Güney,18.000 TL,Doğalgaz,Evet,18.000 TL,,,,,
64,Ankara,Çankaya,Aşağı Öveçler,6171-6544,11-04-2023,2 + 1,110 m2,1. Kat,24 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Doğu",9.500 TL,Doğalgaz,Evet,9.500 TL,,,,,
65,Ankara,Mamak,Demirlibahçe,129644-7881,11-04-2023,1 + 1,90 m2,Kot 1,16 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Doğu",,Doğalgaz,,6.000 TL,,,,,
66,Ankara,Çankaya,İncesu,6391-4322,11-04-2023,3 + 1,90 m2,1. Kat,33 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,55 TL,Doğu,5.250 TL,Doğalgaz,Evet,5.250 TL,,,,,
67,Ankara,Çankaya,Anıttepe,5505-2658,11-04-2023,2 + 1,80 m2,2. Kat,4 Yaşında,Kombi,4 Katlı,,1,Betonarme,İkinci El,Boş,250 TL,,7.500 TL,Doğalgaz,Evet,7.500 TL,,,,,
68,Ankara,Çankaya,Aziziye,16814-6948,11-04-2023,2 + 1,100 m2,Teras Katı,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1.200 TL,"Güney, Doğu, Batı",25.000 TL,Doğalgaz,Evet,25.000 TL,,,,,
69,Ankara,Etimesgut,Yeni Bağlıca,114071-368,11-04-2023,4 + 1,180 m2,3. Kat,5 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı Değil,2,,,Boş,900 TL,"Kuzey, Doğu, Batı",,,,13.000 TL,Evet (Site Adı Belirtilmemiş),Uygun değil,,,
70,Ankara,Çankaya,Ata,3286-8354,11-04-2023,3 + 1,140 m2,3. Kat,10 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,100 TL,"Güney, Doğu",14.500 TL,Doğalgaz,Evet,14.500 TL,,,,,
71,Ankara,Keçiören,Şehit Kubilay,106043-170,10-04-2023,4 + 1,185 m2,10. Kat,3 Yaşında,Merkezi (Pay Ölçer),21 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,400 TL,"Kuzey, Doğu, Batı",12.000 TL,Doğalgaz,Evet,12.000 TL,Alya Park Etlik,,,,
72,Ankara,Çankaya,İlkbahar,136366-66,11-04-2023,6 + 1,300 m2,1. Kat,15 Yaşında,Kombi,10 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,750 TL,"Güney, Doğu, Batı",50.000 TL,Doğalgaz,,35.000 TL,,,,,
73,Ankara,Çankaya,Keklik Pınarı,38385-639,11-04-2023,2 + 1,95 m2,Ara Kat,25 Yaşında,Merkezi,9 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,"Kuzey, Batı",28.000 TL,Doğalgaz,,14.000 TL,Turtaş Sitesi,,,,
74,Ankara,Keçiören,Kamil Ocak,121272-374,11-04-2023,3 + 1,100 m2,Yüksek Giriş,15 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğu,5.500 TL,Doğalgaz,Evet,5.500 TL,,,,,
75,Ankara,Mamak,Abidinpaşa,131828-302,10-04-2023,3 + 1,115 m2,2. Kat,22 Yaşında,Kombi,2 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Güney,9.500 TL,Doğalgaz,Evet,9.500 TL,,,,,
76,Ankara,Yenimahalle,Karacakaya,111334-3663,11-04-2023,3 + 1,183 m2,5. Kat,4 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.100 TL,"Güney, Batı",20.000 TL,Doğalgaz,Evet,9.900 TL,Mebuskent Konutları G Blok,,,,
77,Ankara,Çankaya,İlker,46649-9892,11-04-2023,4 + 1,275 m2,3. Kat,18 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Batı",16.000 TL,Doğalgaz,Evet,16.000 TL,,,,,
78,Ankara,Etimesgut,Topçu,16407-10352,11-04-2023,5 + 1,240 m2,3. Kat,16 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,"Güney, Doğu",10.500 TL,Doğalgaz,Evet,10.500 TL,,,,,
79,Ankara,Çankaya,Söğütözü,133274-88,11-04-2023,5 + 1,450 m2,11. Kat,11 Yaşında,Merkezi,11 Katlı,Eşyalı Değil,3,,,Boş,2.45 TL,"Kuzey, Güney, Doğu",,,,30.000 TL,,Uygun değil,,,
80,Ankara,Keçiören,Ayvalı,137087-1,11-04-2023,4 + 1,160 m2,En Üst Kat,20 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,250 TL,"Güney, Doğu, Batı",12.750 TL,Doğalgaz,Evet,12.750 TL,,,,,
81,Ankara,Keçiören,Kuşcağız,134216-104,10-04-2023,4 + 1,195 m2,7. Kat,2 Yaşında,Kombi,14 Katlı,,2,Betonarme,Sıfır,Boş,250 TL,"Güney, Doğu, Batı",20.000 TL,Doğalgaz,Evet,20.000 TL,,,,,
82,Ankara,Mamak,Tuzluçayır,104775-4812,10-04-2023,2 + 1,105 m2,Kot 3,18 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,35 TL,"Kuzey, Güney, Doğu, Batı",7.500 TL,Doğalgaz,Evet,7.500 TL,,,,,
83,Ankara,Altındağ,Aydınlıkevler,8767-2708,11-04-2023,3 + 1,125 m2,2. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Batı,,Doğalgaz,Evet,9.250 TL,,,,,
84,Ankara,Çankaya,Tınaztepe,72190-1355,11-04-2023,3 + 1,130 m2,3. Kat,15 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,,Boş,200 TL,"Güney, Batı",9.750 TL,Doğalgaz,Evet,9.750 TL,,,,,
85,Ankara,Keçiören,Emrah,4901-4364,10-04-2023,3 + 1,120 m2,2. Kat,15 Yaşında,Kombi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,100 TL,"Kuzey, Güney, Doğu, Batı",9.000 TL,Doğalgaz,Evet,9.000 TL,,,,,
86,Ankara,Keçiören,Etlik,16149-3094,11-04-2023,4 + 1,165 m2,Yüksek Giriş,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,"Güney, Doğu, Batı",,Doğalgaz,,8.000 TL,,,,,
87,Ankara,Yenimahalle,Anadolu,96259-495,11-04-2023,2 + 1,90 m2,Kot 1,25 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,30 TL,"Güney, Doğu",7.500 TL,Doğalgaz,Evet,7.500 TL,,,,,
88,Ankara,Yenimahalle,Güventepe,134984-73,11-04-2023,3 + 1,30 m2,1. Kat,99 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Yığma,İkinci El,Boş,50 TL,"Kuzey, Güney, Doğu, Batı",5.000 TL,Doğalgaz,Evet,5.000 TL,,,,,
89,Ankara,Altındağ,Gültepe,130309-144,11-04-2023,4 + 1,200 m2,4. Kat,5 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,700 TL,"Güney, Doğu",20.000 TL,Doğalgaz,Evet,14.500 TL,,,,,
90,Ankara,Çankaya,Büyükesat,2603-4497,11-04-2023,4 + 1,190 m2,4. Kat,10 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.500 TL,Güney,,Doğalgaz,Evet,25.000 TL,,,,,
91,Ankara,Çankaya,Metin Oktay,90726-1191,10-04-2023,3 + 1,120 m2,Ara Kat,20 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,30 TL,"Güney, Doğu, Batı",20.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
92,Ankara,Çankaya,İşçi Blokları,88053-4997,11-04-2023,2 + 1,90 m2,3. Kat,31 Yaşında,Kombi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,200 TL,"Güney, Batı",12.000 TL,Doğalgaz,,9.500 TL,13.YILDIZ EVLERİ,,,,
93,Ankara,Çankaya,İlkadım,16761-31377,11-04-2023,3 + 1,125 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,"Kuzey, Batı",11.000 TL,Doğalgaz,Evet,10.750 TL,,,,,
