,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
1216,Ankara,Çankaya,Beytepe,124439-99,23-03-2023,2 + 1,115 m2,Bahçe Katı,12 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,500 TL,,24.000 TL,Doğalgaz,,11.500 TL,,,,,
1217,Ankara,Çankaya,Aziziye,83743-382,27-03-2023,3 + 1,220 m2,Ara Kat,7 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Eşyalı Değil,3,,,,,,31.000 TL,,,31.000 TL,,,,,
1218,Ankara,Çankaya,Alacaatlı,4005-555,02-04-2023,1 + 1,72 m2,12. Kat,3 Yaşında,Merkezi (Pay Ölçer),19 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,520 TL,Güney,8.000 TL,Doğalgaz,Evet,8.000 TL,,,,,
1219,Ankara,Çankaya,Beytepe,7677-4492,11-04-2023,6 + 2,550 m2,,10 Yaşında,Kombi,4 Katlı,Eşyalı,4,,,Boş,,,,,,60.000 TL,Bilkent Bahçe Konutları,,,,
1220,Ankara,Çankaya,İlkadım,135384-73,09-04-2023,1 + 1,60 m2,Kot 2,Sıfır Bina,Kombi,6 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,"Güney, Doğu, Batı",20.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
1221,Ankara,Çankaya,Seyranbağları,10580-5692,10-04-2023,3 + 1,105 m2,1. Kat,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,,6.500 TL,Doğalgaz,Evet,6.500 TL,,,,,
1222,Ankara,Mamak,Akdere,136610-9,11-04-2023,2 + 1,110 m2,1. Kat,16 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,"Güney, Doğu",8.500 TL,Doğalgaz,Evet,8.500 TL,,,,,
1223,Ankara,Çankaya,Alacaatlı,3044-3972,05-04-2023,3 + 1,155 m2,21 ve üzeri,Sıfır Bina,Yerden Isıtma,27 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,1.753 TL,"Güney, Doğu",54.000 TL,Doğalgaz,Evet,27.000 TL,Park Mozaik Konutları,,,,
1224,Ankara,Altındağ,Gültepe,131346-314,03-04-2023,2 + 1,80 m2,2. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,25 TL,"Güney, Doğu",11.000 TL,Doğalgaz,Evet,5.500 TL,,,,,
1225,Ankara,Gölbaşı,Tulumtaş,107584-511,31-03-2023,6 + 2,705 m2,Bahçe Katı,16 Yaşında,Kombi,3 Katlı,Eşyalı,5,,,Boş,750 TL,"Kuzey, Doğu, Batı",,,,50.000 TL,Kargen Sitesi,Uygun değil,,,
1226,Ankara,Çankaya,Ayrancı,39156-4880,11-04-2023,3 + 1,135 m2,3. Kat,45 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,,,Boş,1.800 TL,Doğu,30.000 TL,,,13.500 TL,,,,,
1227,Ankara,Keçiören,Adnan Menderes,131444-197,08-04-2023,6 + 1,240 m2,En Üst Kat,15 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,İkinci El,Boş,50 TL,"Kuzey, Güney, Doğu, Batı",12.500 TL,Doğalgaz,Evet,12.500 TL,,,,,
