,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Tapu Durumu,Site İçerisinde,Yakıt Tipi,Yetkili Ofis,Metro İstasyonu,Durak (Otobüs),Durak (Minibüs),Otogar,Hastane,Acil Servis,Aile Sağlığı Merkezi,Sağlık Kurumları/Diğer,Üniversite,Üniversite Kampüs,İlkokul,Lise,Zincir Marketler,Bakkal/Market,Alışveriş Merkezi,Şarküteri,Rent,Kullanım Durumu,Takas,Kira Getirisi,Aidat,Cephe,Havaalanı,Gar,Poliklinik,Yüksek Okul/Akademi,Ortaokul,Gıda Satış Noktaları,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Tren İstasyonu/Şehiriçi,Tren İstasyonu/Şehirlerarası,Veteriner,Kreş/Gündüz Bakımevi
131,Ankara,Çankaya,Cevizlidere,6675-8451,08-05-2023,3 + 1,140 m2,1. Kat,13 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,,,Kat Mülkiyeti,,,Evet,"3,7 km",82 m,809 m,"4,5 km","1,5 km","1,3 km",356 m,363 m,"2,4 km","6,7 km",312 m,477 m,78 m,87 m,"1,2 km",357 m,3.400.000 TL,Kiracılı,Hayır,,200 TL,"Kuzey, Batı",,,,,,,,,,,,,
132,Ankara,Çankaya,Keklik Pınarı,129560-75,29-04-2023,3 + 1,120 m2,1. Kat,26 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,5 km,165 m,346 m,"5,8 km","1,2 km",228 m,188 m,160 m,"2,1 km","7,5 km",570 m,537 m,290 m,114 m,"2,3 km",177 m,2.445.000 TL,Boş,Evet,13.000 TL,400 TL,"Güney, Batı",,,,,,,,,,,,,
133,Ankara,Çankaya,Erzurum,110749-3,01-05-2023,5 + 1,300 m2,4. Kat,26 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,,,,,,177 m,150 m,991 m,"4,1 km",356 m,349 m,315 m,666 m,1 km,345 m,252 m,364 m,109 m,34 m,"1,7 km",375 m,2.500.000 TL,Kiracılı,Hayır,,,,,,,,,,,,,,,,
134,Ankara,Keçiören,Güzelyurt,137475-16,01-05-2023,3 + 1,110 m2,2. Kat,26 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Kat Mülkiyeti,,,,"1,2 km",92 m,"1,1 km",,867 m,879 m,207 m,"1,9 km","4,9 km",2 km,28 m,388 m,217 m,95 m,"2,2 km",264 m,1.290.000 TL,Kiracılı,Hayır,,,"Kuzey, Batı","15,4 km",,,,,,,,,,,,
135,Ankara,Mamak,Türközü,89899-1236,07-05-2023,5 + 1,325 m2,10. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"2,1 km",187 m,"2,6 km","5,9 km","1,5 km","1,3 km",549 m,"1,5 km","2,1 km","1,9 km",299 m,282 m,224 m,171 m,2 km,162 m,4.250.000 TL,Boş,Evet,10.000 TL,250 TL,"Güney, Batı",,,,,,,,,,,,,
136,Ankara,Mamak,Mutlu,89899-1279,05-05-2023,4 + 1,175 m2,3. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,2 km",138 m,1 km,"7,4 km","1,3 km","1,3 km",216 m,2 km,"3,6 km",3 km,220 m,762 m,75 m,86 m,"3,3 km",605 m,2.600.000 TL,Mülk Sahibi,Evet,12.000 TL,100 TL,"Güney, Batı",,,,,,,,,,,,,
137,Ankara,Keçiören,Atapark,137051-33,07-05-2023,2 + 1,90 m2,Kot 2,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"1,5 km",88 m,"1,7 km",,723 m,599 m,162 m,637 m,"2,6 km","1,6 km",246 m,449 m,135 m,57 m,786 m,299 m,819.000 TL,Boş,Evet,5.000 TL,50 TL,Doğu,"17,2 km",,,,,,,,,,,,
138,Ankara,Gölbaşı,Karaoğlan,36026-15,07-05-2023,2 + 1,500 m2,,1 Yaşında,Soba,1 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Arsa,,,Evet,"19,4 km",88 m,"5,3 km",,"5,7 km","5,7 km","5,7 km","5,7 km","12,8 km","5,3 km","3,8 km","2,5 km","4,9 km","2,1 km","6,1 km","5,6 km",1.900.000 TL,Mülk Sahibi,Hayır,,75 TL,,,,,,,,,,,,,,
139,Ankara,Keçiören,Aşağı Eğlence,16354-23933,07-05-2023,4 + 1,275 m2,3. Kat,16 Yaşında,Merkezi (Pay Ölçer),3 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kat Mülkiyeti,,Doğalgaz,,"2,5 km",170 m,"1,6 km","1,9 km",202 m,202 m,534 m,601 m,"1,3 km","1,3 km",126 m,372 m,34 m,77 m,"1,8 km",138 m,1.789.000 TL,Boş,Evet,,,"Güney, Batı",,,,,,,,,,,,,
140,Ankara,Keçiören,Atapark,136916-42,07-05-2023,4 + 1,150 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"2,1 km",59 m,"1,2 km",,"1,5 km","1,4 km",250 m,"1,4 km","1,5 km","2,2 km",159 m,85 m,70 m,145 m,"1,7 km",145 m,2.400.000 TL,Boş,Evet,12.000 TL,100 TL,"Güney, Doğu, Batı","18,2 km",,,,,,,,,,,,
