,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Site İçerisinde,Kira Getirisi,Yakıt Tipi,Rent,Yetkili Ofis,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Depozito
5669,Ankara,Yenimahalle,Kardelen,8315-12409,27-03-2023,3 + 1,179 m2,16. Kat,12 Yaşında,Kombi,24 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,1.000 TL,Hayır,"Güney, Batı",,16.000 TL,Doğalgaz,4.950.000 TL,Evet,,,,
5670,Ankara,Sincan,Fevzi Çakmak,132236-168,19-03-2023,3 + 1,135 m2,Ara Kat,3 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu",,5.000 TL,Doğalgaz,1.370.000 TL,,,,,
5671,Ankara,Pursaklar,Fatih,2703-19142,04-04-2023,6 + 2,360 m2,,5 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,,,Doğalgaz,11.750.000 TL,Evet,,,,
5672,Ankara,Keçiören,Ayvalı,129504-335,05-04-2023,3 + 1,135 m2,2. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Doğu, Batı",,6.000 TL,Doğalgaz,2.500.000 TL,Evet,,,,
5673,Ankara,Pursaklar,Saray Fatih,66694-6713,12-03-2023,3 + 1,150 m2,10. Kat,5 Yaşında,Kombi,12 Katlı,Uygun,Eşyalı,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Batı",,7.000 TL,Doğalgaz,2.050.000 TL,Evet,,,,
5674,Ankara,Çankaya,Anıttepe,3053-2150,19-02-2023,3 + 1,145 m2,2. Kat,31 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Güney, Batı",,,,2.850.000 TL,,,,,
5675,Ankara,Mamak,Fahri Korutürk,128501-695,03-04-2023,3 + 1,140 m2,3. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,50 TL,Hayır,"Doğu, Batı",,7.000 TL,Doğalgaz,1.449.000 TL,,,,,
5676,Ankara,Etimesgut,İstasyon,28851-15439,23-03-2023,3 + 1,120 m2,Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,50 TL,,"Güney, Doğu",,,Doğalgaz,1.650.000 TL,Evet,,,,
5677,Ankara,Çankaya,Gaziosmanpaşa,27203-3629,23-03-2023,4 + 2,200 m2,Bahçe Katı,25 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,1.500 TL,Hayır,,,25.000 TL,Doğalgaz,12.000.000 TL,Evet,,,,
5678,Ankara,Keçiören,Uyanış,69815-982,26-03-2023,4 + 1,160 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Evet,"Güney, Batı",,,Doğalgaz,3.500.000 TL,Evet,,,,
