,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Rent,Aidat,Site İçerisinde,Depozito
0,Ankara,Gölbaşı,Gaziosmanpaşa,26622-31,11-04-2023,3 + 1,150 m2,Ara Kat,17 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat İrtifakı,Hayır,"Güney, Doğu, Batı",5.000 TL,Doğalgaz,Evet,1.490.000 TL,,,
1,Ankara,Sincan,Fevzi Çakmak,114466-932,08-04-2023,3 + 1,125 m2,Yüksek Giriş,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",,,,1.245.000 TL,100 TL,,
2,Ankara,Çankaya,Bahçelievler,41304-2647,11-04-2023,1 + 1,85 m2,Bahçe Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Hayır,,12.000 TL,Doğalgaz,Evet,2.500.000 TL,200 TL,,
3,Ankara,Çankaya,Çukurambar,137001-7,04-04-2023,6 + 1,389 m2,21 ve üzeri,Sıfır Bina,Fancoil Ünitesi,32 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Yapım Aşamasında,Boş,,Hayır,,110.000 TL,Elektrik,,16.793.888 TL,,Cubes Ankara,
4,Ankara,Gölbaşı,Karşıyaka,1248-2174,12-04-2023,6 + 2,800 m2,,Sıfır Bina,Kombi,4 Katlı,Uygun,,5,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,24.000.000 TL,,,
5,Ankara,Yenimahalle,Güventepe,128158-458,06-04-2023,4 + 1,200 m2,13. Kat,4 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,Hayır,Batı,15.000 TL,Doğalgaz,Evet,3.150.000 TL,,,
6,Ankara,Çankaya,Sancak,40334-198,13-04-2023,3 + 1,130 m2,Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,Hayır,Batı,6.000 TL,Doğalgaz,Evet,1.295.000 TL,50 TL,,
7,Ankara,Çankaya,Mutlukent,54777-741,11-04-2023,1 + 1,70 m2,Kot 2,1 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Evet,Batı,6.500 TL,Doğalgaz,Evet,935.000 TL,500 TL,,
8,Ankara,Keçiören,Uyanış,89354-953,01-04-2023,3 + 1,130 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Evet,Güney,5.500 TL,Doğalgaz,Evet,1.695.000 TL,50 TL,,
9,Ankara,Keçiören,İncirli,3704-11227,24-03-2023,3 + 1,115 m2,Yüksek Giriş,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",5.000 TL,Doğalgaz,Evet,1.080.000 TL,30 TL,,
10,Ankara,Keçiören,Aşağı Eğlence,56045-5513,10-04-2023,3 + 1,120 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,,"Kuzey, Güney, Batı",,Doğalgaz,Evet,1.580.000 TL,,,
11,Ankara,Keçiören,Kanuni,45377-813,11-04-2023,3 + 1,150 m2,1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",5.000 TL,Doğalgaz,,1.749.000 TL,50 TL,,
12,Ankara,Etimesgut,Kazım Karabekir,28851-15454,12-04-2023,3 + 1,126 m2,1. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",,Doğalgaz,Evet,1.800.000 TL,50 TL,,
13,Ankara,Etimesgut,Turkuaz,123623-781,12-04-2023,3 + 1,145 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,3.600.000 TL,,turkuaz,
14,Ankara,Altındağ,Beşikkaya,70180-3853,12-04-2023,3 + 1,120 m2,1. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Doğu",7.000 TL,Doğalgaz,Evet,1.700.000 TL,100 TL,,
15,Ankara,Etimesgut,Topçu,16407-10358,12-04-2023,3 + 1,135 m2,4. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Batı",7.000 TL,Doğalgaz,Evet,1.575.000 TL,50 TL,,
16,Ankara,Mamak,Şirintepe,121128-1999,10-04-2023,3 + 1,115 m2,Giriş Katı,2 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Güney,,Doğalgaz,Evet,1.450.000 TL,,,
17,Ankara,Çankaya,Konutkent,102968-2568,30-03-2023,1 + 1,47 m2,5. Kat,1 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Uygun değil,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,Hayır,Batı,,,,1.950.000 TL,1.35 TL,Elmar Towers,
18,Ankara,Keçiören,Çiçekli,6266-6905,26-03-2023,3 + 1,125 m2,2. Kat,38 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu",8.000 TL,Doğalgaz,Evet,1.680.000 TL,50 TL,,
19,Ankara,Çankaya,Emek,7092-1405,13-04-2023,5 + 1,180 m2,En Üst Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Güney,18.000 TL,Doğalgaz,Evet,4.500.000 TL,200 TL,,
20,Ankara,Çankaya,Maltepe,77293-4826,20-03-2023,3 + 1,110 m2,2. Kat,36 Yaşında,Yerden Isıtma,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",4.000 TL,Doğalgaz,Evet,3.250.000 TL,150 TL,,
21,Ankara,Polatlı,Zafer,42882-966,03-04-2023,6 + 1,340 m2,En Üst Kat,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,1.395.000 TL,,,
22,Ankara,Keçiören,Bağlarbaşı,83594-650,03-04-2023,4 + 1,215 m2,1. Kat,8 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Evet,"Kuzey, Doğu",15.000 TL,Doğalgaz,Evet,4.250.000 TL,600 TL,,
23,Ankara,Çankaya,100. Yıl,5462-3313,11-04-2023,3 + 1,125 m2,Yüksek Giriş,40 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kiracılı,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Batı",,Doğalgaz,Evet,2.250.000 TL,1.000 TL,,
24,Ankara,Keçiören,Bademlik,7788-2298,03-04-2023,3 + 1,118 m2,En Üst Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,"Güney, Batı",,Doğalgaz,,1.500.000 TL,70 TL,,
25,Ankara,Etimesgut,Eryaman,2330-4373,28-03-2023,2 + 1,100 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,2.100.000 TL,150 TL,,
26,Ankara,Yenimahalle,Demetgül,10214-2598,17-03-2023,3 + 1,120 m2,2. Kat,35 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,"Güney, Doğu, Batı",,Doğalgaz,,1.550.000 TL,,,
27,Ankara,Çankaya,Cebeci,26200-597,12-04-2023,2 + 1,110 m2,7. Kat,30 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,,,Doğalgaz,Evet,1.675.000 TL,100 TL,,
28,Ankara,Etimesgut,Topçu,98624-154,07-04-2023,5 + 1,250 m2,En Üst Kat,13 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Doğu",8.000 TL,Doğalgaz,Evet,2.900.000 TL,200 TL,Evet (Site Adı Belirtilmemiş),
29,Ankara,Yenimahalle,Kardelen,16167-1016,13-04-2023,3 + 1,120 m2,5. Kat,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,Evet,Güney,5.500 TL,Doğalgaz,Evet,1.750.000 TL,200 TL,,
30,Ankara,Altındağ,Aydınlıkevler,33553-5927,06-04-2023,5 + 1,250 m2,Teras Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",6.000 TL,Doğalgaz,Evet,2.500.000 TL,50 TL,,
31,Ankara,Yenimahalle,Ergazi,10629-240,10-04-2023,3 + 1,120 m2,4. Kat,28 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Doğu, Batı",,Doğalgaz,Evet,1.820.000 TL,200 TL,,
32,Ankara,Altındağ,Güneşevler,56352-1658,11-03-2023,3 + 1,160 m2,7. Kat,5 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,"Kuzey, Batı",3.500 TL,Akaryakıt,Evet,2.900.000 TL,,,
33,Ankara,Çankaya,Oran,83743-392,30-03-2023,3 + 1,150 m2,Ara Kat,5 Yaşında,Merkezi (Pay Ölçer),40 Katlı,Uygun,Eşyalı Değil,2,,,,Kat Mülkiyeti,,,,,,9.600.000 TL,,,
34,Ankara,Polatlı,Gazi,130893-212,12-04-2023,3 + 1,125 m2,En Üst Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Güney,2.500 TL,Doğalgaz,Evet,680.000 TL,25 TL,,
35,Ankara,Çankaya,Bayraktar,84203-192,07-04-2023,3 + 1,130 m2,Ara Kat,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,,Doğalgaz,,1.400 TL,,,
36,Ankara,Yenimahalle,Gayret,5751-1729,10-04-2023,3 + 1,150 m2,2. Kat,30 Yaşında,Kombi,6 Katlı,Uygun,,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,"Güney, Doğu",,Doğalgaz,Evet,1.550.000 TL,50 TL,,
37,Ankara,Etimesgut,Süvari,10249-3865,09-04-2023,3 + 1,120 m2,2. Kat,21 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,"Güney, Batı",5.000 TL,Doğalgaz,Evet,925.000 TL,,,
38,Ankara,Çankaya,Birlik,0-40530605,27-03-2023,3 + 1,155 m2,2. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,"Kuzey, Güney, Doğu",15.000 TL,Doğalgaz,,4.999.000 TL,220 TL,,
39,Ankara,Çankaya,Alacaatlı,0-40492703,21-03-2023,4 + 1,280 m2,2. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Doğu, Batı",16.000 TL,Doğalgaz,,8.860.000 TL,,Mea Güzel Bahçem Sitesi,
40,Ankara,Çankaya,Kızılay,8949-851,27-03-2023,2 + 1,67 m2,Yüksek Giriş,23 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Hayır,"Doğu, Batı",,Doğalgaz,Evet,1.450.000 TL,300 TL,,
41,Ankara,Gölbaşı,Kızılcaşar,41082-820,25-03-2023,2 + 1,75 m2,12. Kat,3 Yaşında,Merkezi (Pay Ölçer),24 Katlı,Uygun değil,Eşyalı Değil,2,,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Güney,,Doğalgaz,Evet,3.370.000 TL,,,
42,Ankara,Çankaya,Yukarı Bahçelievler,30001-7059,20-03-2023,4 + 1,200 m2,Ara Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,8.500.000 TL,120 TL,,
43,Ankara,Mamak,Saimekadın,47683-2386,25-03-2023,3 + 1,120 m2,En Üst Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Doğu, Batı",1.400 TL,Doğalgaz,Evet,1.230.000 TL,50 TL,,
44,Ankara,Keçiören,Bağlarbaşı,114617-353,25-03-2023,3 + 1,105 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Kuzey, Doğu, Batı",3.000 TL,Doğalgaz,,1.050.000 TL,30 TL,,
45,Ankara,Mamak,Türközü,122845-1732,09-04-2023,4 + 1,220 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu",7.000 TL,Doğalgaz,Evet,2.300.000 TL,,,
46,Ankara,Çankaya,Yukarı Bahçelievler,3584-27070,12-04-2023,3 + 1,120 m2,1. Kat,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,,,Doğalgaz,Evet,3.750.000 TL,,,
47,Ankara,Pursaklar,Fatih,25298-3739,11-04-2023,3 + 1,125 m2,3. Kat,1 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Doğu",,,,1.800.000 TL,,,
48,Ankara,Etimesgut,İstasyon,136470-73,12-04-2023,3 + 1,150 m2,Giriş Katı,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Kuzey,,Doğalgaz,Evet,1.700.000 TL,,,
49,Ankara,Çankaya,Kazım Özalp,32276-1454,11-04-2023,3 + 1,145 m2,2. Kat,38 Yaşında,Merkezi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,,15.000 TL,Doğalgaz,Evet,5.950.000 TL,2.000 TL,,
50,Ankara,Çankaya,Yücetepe,5934-3313,20-03-2023,3 + 1,125 m2,Yüksek Giriş,18 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,,Kiracılı,Kat Mülkiyeti,Hayır,Güney,,,Evet,3.250.000 TL,100 TL,,
51,Ankara,Çankaya,Esatoğlu,2412-2790,06-04-2023,3 + 1,120 m2,Giriş Katı,28 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Doğu",4.000 TL,Doğalgaz,Evet,1.900.000 TL,150 TL,,
52,Ankara,Mamak,Cengizhan,135135-15,05-04-2023,3 + 1,125 m2,3. Kat,5 Yaşında,Kombi,11 Katlı,Uygun,,2,,,,,,,4.500 TL,,,1.600.000 TL,100 TL,,
53,Ankara,Etimesgut,Yeşilova,37957-15900,03-04-2023,2 + 1,100 m2,2. Kat,3 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Kuzey,6.000 TL,Doğalgaz,Evet,3.050.000 TL,750 TL,,
54,Ankara,Mamak,Ekin,88358-1135,20-03-2023,3 + 1,130 m2,Ara Kat,8 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Doğu",5.500 TL,Doğalgaz,Evet,1.020.000 TL,150 TL,,
55,Ankara,Çankaya,Birlik,8006-816,07-04-2023,4 + 1,179 m2,5. Kat,15 Yaşında,Merkezi,13 Katlı,Uygun,Eşyalı,2,Betonarme,Sıfır,Kiracılı,Kat Mülkiyeti,,"Güney, Batı",25.000 TL,Doğalgaz,Evet,8.500.000 TL,3.500 TL,"Zirvekent 2. Etap Sitesi (Ankara, Çankaya, Birlik)",
56,Ankara,Polatlı,Şehitlik,77086-539,10-04-2023,4 + 1,200 m2,3. Kat,Sıfır Bina,Kombi,14 Katlı,Uygun değil,Eşyalı Değil,2,,,Boş,,Hayır,"Güney, Batı",,,,2.300.000 TL,,Evet (Site Adı Belirtilmemiş),
57,Ankara,Pursaklar,Merkez,28624-281,07-04-2023,3 + 1,130 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Evet,"Güney, Batı",,Doğalgaz,Evet,1.580.000 TL,,,
58,Ankara,Mamak,Misket,45132-449,28-03-2023,3 + 1,120 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,Evet,"Kuzey, Doğu, Batı",,,,1.750.000 TL,100 TL,,
59,Ankara,Polatlı,Şehitlik,129186-349,14-04-2023,3 + 1,130 m2,Ara Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,5.000 TL,Doğalgaz,Evet,795.000 TL,,,
60,Ankara,Polatlı,Şehitlik,111966-2142,10-04-2023,3 + 1,130 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,,1,,,,,,,,,,980.000 TL,,,
61,Ankara,Keçiören,Etlik,2505-1856,23-03-2023,5 + 2,240 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Batı",12.000 TL,Doğalgaz,Evet,2.950.000 TL,50 TL,,
62,Ankara,Keçiören,Kanuni,80269-1156,21-03-2023,4 + 1,200 m2,14. Kat,3 Yaşında,Merkezi (Pay Ölçer),22 Katlı,Uygun,,2,,,Kiracılı,Kat Mülkiyeti,Evet,"Doğu, Batı",,,,3.750.000 TL,,Akağ Life Sitesi,
63,Ankara,Çankaya,Bahçelievler,4757-2177,31-03-2023,3 + 1,120 m2,1. Kat,32 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Batı,15.000 TL,Doğalgaz,Evet,3.500.000 TL,800 TL,,
64,Ankara,Polatlı,Şehitlik,61518-1300,16-03-2023,3 + 1,135 m2,4. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",2.000 TL,Doğalgaz,Evet,965.000 TL,20 TL,,
65,Ankara,Mamak,Balkiraz,111600-371,03-04-2023,2 + 1,90 m2,En Üst Kat,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,,İkinci El,Boş,,,,4.000 TL,Doğalgaz,,950.000 TL,,,
66,Ankara,Yenimahalle,Turgut Özal,121018-293,12-04-2023,4 + 1,200 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,Hayır,"Kuzey, Batı",12.000 TL,Doğalgaz,Evet,3.275.000 TL,,,
67,Ankara,Keçiören,Yayla,122089-323,05-04-2023,2 + 1,100 m2,Kot 2,10 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",2.000 TL,Doğalgaz,Evet,1.250.000 TL,50 TL,,
68,Ankara,Mamak,Akşemsettin,69646-2091,12-04-2023,3 + 1,155 m2,2. Kat,4 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Batı",7.500 TL,Doğalgaz,Evet,1.730.000 TL,50 TL,,
69,Ankara,Yenimahalle,Yuvaköy,129045-144,07-04-2023,2 + 1,120 m2,14. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Hayır,Batı,,Doğalgaz,Evet,2.950.000 TL,,,
70,Ankara,Altındağ,Hacettepe,28528-1275,05-04-2023,3 + 1,125 m2,2. Kat,50 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Güney,8.000 TL,Doğalgaz,Evet,1.325.000 TL,50 TL,,
71,Ankara,Çankaya,Yukarı Bahçelievler,1124-5516,13-04-2023,3 + 1,115 m2,Yüksek Giriş,40 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Hayır,"Güney, Doğu",,Doğalgaz,Evet,2.300.000 TL,,,
72,Ankara,Keçiören,Etlik,1955-7142,13-04-2023,3 + 1,130 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,,Doğu,7.500 TL,Doğalgaz,Evet,1.625.000 TL,50 TL,,
73,Ankara,Keçiören,Ayvalı,56586-3309,11-04-2023,3 + 1,145 m2,2. Kat,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu",,Doğalgaz,Evet,1.699.000 TL,,,
74,Ankara,Gölbaşı,Eymir,122134-163,11-04-2023,2 + 1,95 m2,1. Kat,12 Yaşında,Merkezi (Pay Ölçer),3 Katlı,Uygun,,1,,,,,,Güney,,Doğalgaz,Evet,1.525.000 TL,,,
75,Ankara,Çankaya,Emek,124497-92,22-03-2023,2 + 1,100 m2,1. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,,1,,,Mülk Sahibi,,,,11.000 TL,Doğalgaz,Evet,3.880.000 TL,150 TL,,
76,Ankara,Mamak,Diriliş,8174-2870,12-04-2023,1 + 1,48 m2,Kot 1,5 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Kuzey,,Doğalgaz,Evet,850.000 TL,,,
77,Ankara,Çankaya,Kültür,4581-6674,12-04-2023,2 + 1,90 m2,3. Kat,45 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Batı",,Doğalgaz,Evet,1.400.000 TL,570 TL,,
78,Ankara,Keçiören,İncirli,7372-2529,02-04-2023,3 + 1,120 m2,3. Kat,16 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,İkinci El,,Kat Mülkiyeti,,Batı,,Doğalgaz,,1.600.000 TL,,,
79,Ankara,Etimesgut,Yeni Bağlıca,4018-4172,11-04-2023,4 + 1,250 m2,Bahçe Katı,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,,,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Doğu, Batı",,,,7.500.000 TL,,Evet (Site Adı Belirtilmemiş),
80,Ankara,Keçiören,Uyanış,0-40446545,12-03-2023,5 + 1,300 m2,En Üst Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Doğu",8.000 TL,Doğalgaz,,3.750.000 TL,100 TL,,
81,Ankara,Yenimahalle,Uğur Mumcu,0-40401697,05-03-2023,3 + 1,130 m2,2. Kat,40 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Hayır,"Kuzey, Güney",1.600 TL,Doğalgaz,,2.000.000 TL,,Site 69 Sitesi,
82,Ankara,Keçiören,Adnan Menderes,0-40359969,11-04-2023,3 + 1,115 m2,Yüksek Giriş,21 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,,Kat Mülkiyeti,Evet,Güney,4.000 TL,Doğalgaz,,1.500.000 TL,50 TL,,
83,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı,88413-205,11-03-2023,3 + 1,150 m2,3. Kat,20 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Kuzey, Batı",13.000 TL,Doğalgaz,Evet,5.350.000 TL,1.700 TL,,
84,Ankara,Kızılcahamam,Karşıyaka,0-40324226,28-02-2023,2 + 1,90 m2,4. Kat,28 Yaşında,Soba,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Doğu",2.000 TL,Kömür-Odun,,625.000 TL,1 TL,,
85,Ankara,Çankaya,Beytepe,0-40309849,17-02-2023,4 + 1,240 m2,8. Kat,6 Yaşında,Merkezi (Pay Ölçer),27 Katlı,Bilinmiyor,Eşyalı Değil,2,Betonarme,Sıfır,Mülk Sahibi,Kat İrtifakı,Hayır,Güney,22.000 TL,Doğalgaz,,14.000.000 TL,2.000 TL,Ametist Residen,
