,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Rent,Aidat,Site İçerisinde,Depozito
2155,Ankara,Çankaya,Kızılırmak,4581-6802,14-04-2023,6 + 1,400 m2,8. Kat,12 Yaşında,Kombi,8 Katlı,Bilinmiyor,Eşyalı Değil,3,,İkinci El,Boş,,Hayır,,,Doğalgaz,,10.750.000 TL,900 TL,,
2156,Ankara,Etimesgut,Süvari,95979-958,23-03-2023,3 + 1,170 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Doğu",3.000 TL,Doğalgaz,Evet,2.550.000 TL,,,
2157,Ankara,Çankaya,Sokullu Mehmet Paşa,3483-5946,07-04-2023,2 + 1,95 m2,Kot 1,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Evet,"Güney, Batı",8.000 TL,Doğalgaz,Evet,1.890.000 TL,60 TL,,
2158,Ankara,Yenimahalle,Turgut Özal,0-40613741,10-04-2023,3 + 1,135 m2,Yüksek Giriş,10 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,"Kuzey, Güney",5.500 TL,Doğalgaz,,2.350.000 TL,,Evet (Site Adı Belirtilmemiş),
2159,Ankara,Çankaya,Seyranbağları,132019-44,12-04-2023,2 + 1,85 m2,Bahçe Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,2.000.000 TL,,,
2160,Ankara,Çankaya,Güvenevler,5782-6190,17-03-2023,3 + 1,140 m2,4. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Doğu,8.500 TL,Doğalgaz,Evet,2.500.000 TL,1.250 TL,,
2161,Ankara,Mamak,Akdere,7847-1659,20-03-2023,3 + 1,120 m2,En Üst Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Batı",,Doğalgaz,Evet,950.000 TL,,,
2162,Ankara,Keçiören,Esertepe,120870-497,15-03-2023,3 + 1,125 m2,1. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Batı",5.000 TL,Doğalgaz,Evet,1.275.000 TL,50 TL,,
2163,Ankara,Çankaya,Yukarı Dikmen,19538-3497,20-03-2023,4 + 1,190 m2,4. Kat,25 Yaşında,Merkezi,10 Katlı,Uygun,,1,,,,Kat Mülkiyeti,,"Güney, Batı",,,Evet,4.600.000 TL,1.250 TL,,
2164,Ankara,Keçiören,Uyanış,131444-150,29-03-2023,3 + 1,155 m2,2. Kat,7 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Güney,,Doğalgaz,Evet,2.300.000 TL,,,
2165,Ankara,Çankaya,Yücetepe,5934-3337,13-04-2023,2 + 1,75 m2,Yüksek Giriş,Sıfır Bina,Kombi,3 Katlı,Uygun,,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Güney,,Doğalgaz,Evet,2.500.000 TL,,,
2166,Ankara,Çankaya,Alacaatlı,6664-1632,13-04-2023,7 + 1,510 m2,,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat İrtifakı,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,14.500.000 TL,,,
2167,Ankara,Çankaya,Yücetepe,73240-2243,14-04-2023,2 + 1,70 m2,Yüksek Giriş,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,Hayır,"Güney, Doğu",12.000 TL,Doğalgaz,Evet,2.400.000 TL,200 TL,,
2168,Ankara,Keçiören,İncirli,1955-7091,12-04-2023,3 + 1,120 m2,1. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",4.500 TL,Doğalgaz,Evet,1.350.000 TL,50 TL,,
2169,Ankara,Etimesgut,Bağlıca,25137-976,16-03-2023,4 + 1,280 m2,,30 Yaşında,Kombi,3 Katlı,Uygun değil,Eşyalı Değil,2,,İkinci El,Kiracılı,Kat İrtifakı,Hayır,,10.000 TL,Doğalgaz,Evet,3.100.000 TL,,,
