,District,Neighborhood,Num_Of_Room,Area,Floor,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Usage,Price
50,Keçiören,Ovacık,5,230.0,interstage,2.0,Merkezi (Pay Ölçer),16.0,1.0,1,2.0,Mülk Sahibi,6249000.0
51,Etimesgut,Bağlıca,5,180.0,interstage,0.0,Kombi,8.0,1.0,0,2.0,Boş,3990000.0
52,Etimesgut,Bağlıca,5,185.0,interstage,0.0,Yerden Isıtma,6.0,1.0,0,2.0,Boş,4200000.0
53,Etimesgut,Bağlıca,5,215.0,interstage,4.0,Kombi,8.0,1.0,0,2.0,Mülk Sahibi,4220000.0
54,Çankaya,Naci Çakır,4,135.0,interstage,0.0,Kombi,3.0,1.0,0,2.0,Boş,4150000.0
55,Çankaya,Barbaros,4,130.0,interstage,45.0,Merkezi,4.0,1.0,0,1.0,Boş,3750000.0
56,Keçiören,Ufuktepe,4,125.0,interstage,0.0,Kombi,3.0,1.0,0,2.0,Boş,2650000.0
57,Sincan,Fevzi Çakmak,4,120.0,interstage,0.0,Kombi,4.0,1.0,0,1.0,Boş,1235000.0
58,Çankaya,Naci Çakır,4,120.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1779000.0
59,Çankaya,Harbiye,4,120.0,interstage,29.0,Merkezi,3.0,1.0,0,1.0,Kiracılı,2340000.0
60,Yenimahalle,Çiğdemtepe,4,170.0,interstage,8.0,Merkezi,13.0,1.0,0,2.0,Kiracılı,2299000.0
61,Keçiören,Ovacık,4,170.0,interstage,2.0,Merkezi (Pay Ölçer),25.0,1.0,0,2.0,Boş,3149000.0
62,Pursaklar,Fatih,5,185.0,interstage,4.0,Merkezi (Pay Ölçer),10.0,1.0,0,2.0,Boş,3390000.0
63,Çankaya,Osman Temiz,5,170.0,interstage,24.0,Kombi,2.0,1.0,0,2.0,Boş,3250000.0
64,Çankaya,Şehit Cevdet Özdemir,3,95.0,interstage,27.0,Kombi,3.0,1.0,1,1.0,Kiracılı,1400000.0
65,Pursaklar,Merkez,5,180.0,interstage,0.0,Merkezi,13.0,1.0,0,2.0,Boş,2990000.0
66,Çankaya,Bahçelievler,3,80.0,interstage,30.0,Kombi,3.0,1.0,1,1.0,Kiracılı,2550000.0
67,Çankaya,Şehit Cengiz Karaca,4,120.0,interstage,26.0,Kombi,7.0,1.0,0,1.0,Boş,2925000.0
68,Çankaya,Ata,4,140.0,interstage,13.0,Kombi,3.0,1.0,0,1.0,Boş,3100000.0
69,Çankaya,İlkadım,4,125.0,interstage,28.0,Kombi,5.0,1.0,0,2.0,Boş,2650000.0
70,Çankaya,Birlik,5,200.0,interstage,12.0,Kombi,4.0,1.0,1,2.0,Boş,3100000.0
71,Çankaya,Kavaklıdere,4,110.0,interstage,3.0,Kombi,3.0,1.0,1,1.0,Boş,1975000.0
72,Keçiören,Ovacık,6,230.0,interstage,0.0,Merkezi (Pay Ölçer),15.0,1.0,0,2.0,Boş,5800000.0
73,Keçiören,Ovacık,5,208.0,interstage,0.0,Merkezi (Pay Ölçer),16.0,1.0,0,2.0,Boş,4350000.0
74,Çankaya,Aziziye,3,70.0,interstage,0.0,Kombi,4.0,0.0,0,1.0,Boş,4000000.0
