,District,Neighborhood,Num_Of_Room,Area,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Metro_Station,Bus_Stop,Minibus_Stop,Hospital,Emergency_Service,University,Shopping_Mall,Floor,Price
0,Çankaya,Birlik,4,155.0,19.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.4,0.213,2.7,0.652,0.644,2.3,1.3,2. Kat,3250000.0
1,Çankaya,Naci Çakır,4,130.0,25.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,4.7,0.204,1.2,0.438,0.444,1.7,1.7,2. Kat,2549000.0
2,Gölbaşı,İncek,4,100.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,9.2,0.25,7.4,3.0,5.0,2.6,3.9,3. Kat,2600000.0
3,Keçiören,Güzelyurt,4,135.0,15.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,1.4,0.268,1.3,1.0,1.1,5.1,2.4,3. Kat,1280000.0
4,Sincan,Malazgirt,4,128.0,15.0,Kombi,4.0,Uygun,Eşyalı,1.0,2.9,0.102,1.2,1.1,1.1,10.2,1.6,1. Kat,1599000.0
5,Etimesgut,Alsancak,4,115.0,25.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,5.0,0.143,4.5,1.5,1.5,3.1,1.1,Bahçe Katı,845000.0
6,Etimesgut,Ayyıldız,7,380.0,8.0,Kombi,5.0,Uygun,Eşyalı Değil,2.0,4.7,0.06,1.8,1.7,1.6,5.6,3.0,Teras Katı,3495000.0
7,Etimesgut,Fatih Sultan,6,294.0,5.0,Merkezi (Pay Ölçer),16.0,Uygun,Eşyalı Değil,3.0,1.9,0.034,6.2,1.7,2.9,0.974,1.5,16. Kat,10000000.0
8,Çankaya,Karapınar,4,135.0,15.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,4.4,0.111,0.718,1.8,1.1,3.1,1.8,2. Kat,3040000.0
9,Yenimahalle,Turgut Özal,4,145.0,12.0,Kombi,8.0,Uygun,Eşyalı Değil,2.0,0.788,0.143,1.1,2.0,2.0,4.6,2.5,8. Kat,3250000.0
10,Etimesgut,Yapracık,4,117.0,11.0,Merkezi (Pay Ölçer),13.0,Uygun değil,Eşyalı Değil,1.0,9.3,1.9,8.6,7.1,8.8,5.3,4.5,Yüksek Giriş,1300000.0
11,Çankaya,Naci Çakır,4,100.0,25.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.5,0.126,1.2,0.429,0.437,1.9,1.6,Giriş Katı,1800000.0
12,Mamak,Şirintepe,4,125.0,9.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,4.0,0.108,1.4,1.1,1.1,5.0,2.4,1. Kat,2200000.0
13,Çankaya,İlkadım,4,135.0,30.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.9,0.045,0.872,0.478,0.478,2.5,1.5,2. Kat,1650000.0
14,Sincan,Törekent,4,305.0,10.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,0.764,0.088,3.4,1.1,1.9,11.7,3.7,Villa Katı,3140000.0
15,Çankaya,Beytepe,5,230.0,0.0,Merkezi (Pay Ölçer),30.0,Uygun,Eşyalı Değil,2.0,4.7,0.112,1.3,1.4,1.5,3.6,3.2,13. Kat,8000000.0
16,Çankaya,Sokullu Mehmet Paşa,4,125.0,25.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.9,0.078,1.6,1.6,1.7,2.0,1.9,1. Kat,1885000.0
17,Sincan,Fevzi Çakmak,3,85.0,15.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,6.2,0.105,9.5,4.9,8.4,18.1,2.9,Yüksek Giriş,1020000.0
18,Sincan,İstasyon,3,95.0,16.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,2.1,0.178,0.155,0.346,0.353,9.3,2.0,4. Kat,1150000.0
19,Sincan,İstasyon,3,95.0,16.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,2.1,0.178,0.155,0.346,0.353,9.3,2.0,4. Kat,1150000.0
20,Çankaya,Ön Cebeci,4,120.0,45.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,0.375,0.181,0.689,0.334,0.582,0.429,1.2,Ara Kat,2400000.0
21,Yenimahalle,Barış,4,130.0,40.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,0.447,0.177,2.3,0.607,0.599,1.8,0.905,Yüksek Giriş,1850000.0
22,Çankaya,Remzi Oğuz Arık,3,130.0,21.0,Merkezi,4.0,Uygun,Eşyalı Değil,1.0,1.5,0.215,1.3,0.192,0.185,1.0,0.952,Giriş Katı,2400000.0
23,Mamak,Misket,4,125.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.4,0.136,1.9,0.827,0.836,4.7,2.8,2. Kat,1750000.0
24,Mamak,Bahçelerüstü,4,130.0,1.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,1.9,0.199,1.4,1.3,1.4,3.7,3.9,4. Kat,1850000.0
25,Etimesgut,Topçu,5,185.0,15.0,Kombi,9.0,Uygun,Eşyalı Değil,2.0,3.4,0.013,1.0,1.4,0.103,6.5,2.1,6. Kat,3000000.0
26,Keçiören,Ayvalı,4,125.0,13.0,Kat Kaloriferi,3.0,Uygun,Eşyalı Değil,1.0,2.5,0.12,2.1,1.5,1.5,1.2,1.4,Yüksek Giriş,1749999.0
27,Çankaya,Harbiye,4,125.0,30.0,Merkezi,3.0,Uygun,Eşyalı Değil,1.0,2.5,0.262,2.0,1.8,1.9,1.9,1.7,2. Kat,2340000.0
28,Etimesgut,Yapracık,3,94.0,10.0,Merkezi (Pay Ölçer),11.0,Uygun,Eşyalı Değil,1.0,9.6,1.4,9.2,7.3,9.0,4.6,4.0,5. Kat,1300000.0
29,Mamak,General Zeki Doğan,5,225.0,0.0,Kombi,25.0,Uygun,Eşyalı Değil,2.0,3.5,0.18,0.542,0.997,0.986,4.2,3.2,10. Kat,3700000.0
30,Çankaya,Seyranbağları,3,80.0,40.0,Kombi,3.0,Uygun,Eşyalı,1.0,0.964,0.049,1.2,0.827,0.837,0.888,1.3,2. Kat,1400000.0
31,Mamak,Ege,7,210.0,7.0,Merkezi (Pay Ölçer),10.0,Uygun,Eşyalı Değil,4.0,4.8,0.791,0.935,2.5,2.4,4.5,2.1,En Üst Kat,2750000.0
32,Çankaya,Keklik Pınarı,5,200.0,5.0,Kombi,5.0,Uygun,Eşyalı Değil,2.0,5.8,0.191,0.458,1.6,0.9,1.5,1.5,5. Kat,3450000.0
33,Çankaya,Gökkuşağı,4,140.0,0.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,4.0,0.112,0.92,1.7,1.2,2.8,1.5,Ara Kat,3750000.0
34,Etimesgut,Göksu,5,180.0,4.0,Merkezi (Pay Ölçer),25.0,Uygun,Eşyalı Değil,2.0,2.4,0.147,4.6,3.4,3.4,7.3,1.4,9. Kat,4275000.0
35,Çankaya,Bahçelievler,6,230.0,21.0,Merkezi,3.0,Uygun,Eşyalı Değil,2.0,0.529,0.063,2.4,0.127,0.451,0.968,1.6,3. Kat,4950000.0
36,Çankaya,Beytepe,5,220.0,0.0,Kombi,36.0,Uygun,Eşyalı Değil,2.0,5.2,0.246,1.8,0.972,0.92,4.0,2.6,Ara Kat,7700000.0
37,Çankaya,Bahçelievler,3,60.0,0.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,0.232,0.107,2.2,0.398,0.246,0.671,1.4,2. Kat,3550000.0
38,Sincan,Plevne,3,100.0,20.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,2.0,0.18,1.3,1.1,1.1,7.9,1.9,Yüksek Giriş,1049000.0
39,Mamak,Şahap Gürler,3,102.0,18.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,7.1,0.147,2.3,0.521,4.3,8.2,0.905,Bodrum,630000.0
40,Çankaya,İlkadım,4,125.0,25.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,4.2,0.107,1.3,0.592,0.601,2.2,1.2,2. Kat,2599000.0
41,Çankaya,Aziziye,3,90.0,0.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,2.3,0.139,2.7,0.753,1.1,0.793,1.1,Yüksek Giriş,3250000.0
42,Keçiören,Kafkas,4,145.0,8.0,Kombi,9.0,Uygun,Eşyalı Değil,1.0,3.7,0.115,2.0,2.7,0.358,4.9,3.1,Ara Kat,1939000.0
43,Sincan,Pınarbaşı,4,130.0,15.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,4.1,0.226,1.6,1.0,1.1,9.7,0.7,Ara Kat,1389000.0
44,Yenimahalle,Işınlar,3,100.0,30.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.671,0.097,3.5,0.737,1.4,0.878,0.765,1. Kat,2050000.0
45,Altındağ,Karapürçek,4,120.0,5.0,Kombi,6.0,Uygun,Eşyalı Değil,2.0,8.9,0.466,0.666,5.9,6.8,10.6,6.1,Kot 1,1150000.0
46,Gölbaşı,Kızılcaşar,3,152.0,3.0,Merkezi (Pay Ölçer),21.0,Uygun değil,Eşyalı Değil,2.0,7.3,0.253,3.9,1.0,1.3,1.9,0.371,1. Kat,5210000.0
47,Çankaya,Kızılırmak,5,165.0,15.0,Merkezi,10.0,Uygun,Eşyalı Değil,2.0,0.947,0.067,1.7,0.156,0.104,0.475,0.954,4. Kat,5700000.0
48,Sincan,Menderes,5,175.0,0.0,Merkezi (Pay Ölçer),4.0,Uygun,Eşyalı Değil,2.0,4.6,0.11,8.0,3.0,6.7,16.4,1.1,1. Kat,2250000.0
49,Keçiören,Ovacık,5,220.0,0.0,Merkezi (Pay Ölçer),27.0,Uygun,Eşyalı Değil,2.0,2.7,0.59,1.7,1.7,1.7,3.1,1.8,12. Kat,3649000.0
50,Yenimahalle,Yeni Batı,4,160.0,12.0,Kombi,12.0,Uygun,Eşyalı Değil,2.0,0.629,0.084,1.5,1.8,1.8,4.6,2.7,5. Kat,3350000.0
51,Keçiören,Kuşcağız,6,220.0,12.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,1.4,0.14,0.471,1.2,1.1,2.1,1.5,3. Kat,2500000.0
52,Mamak,Türközü,4,125.0,3.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.6,0.05,1.8,1.7,1.7,2.8,2.6,1. Kat,1670000.0
53,Çankaya,Beytepe,6,373.0,0.0,Merkezi (Pay Ölçer),13.0,Uygun,Eşyalı Değil,3.0,4.4,0.375,2.0,1.8,1.7,4.5,3.2,9. Kat,9250000.0
54,Etimesgut,Şeker,2,70.0,7.0,Merkezi (Pay Ölçer),9.0,Uygun,Eşyalı,1.0,1.5,0.037,4.7,1.1,1.1,3.2,2.2,5. Kat,1650000.0
55,Sincan,Tandoğan,5,160.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,2.1,0.14,0.581,0.827,0.884,9.8,2.1,1. Kat,2750000.0
56,Yenimahalle,Kentkoop,4,135.0,30.0,Kombi,9.0,Uygun,Eşyalı Değil,1.0,0.465,0.094,1.9,1.4,1.3,1.6,0.918,Ara Kat,2248000.0
57,Çankaya,Cebeci,4,140.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.383,0.379,1.8,0.39,0.562,1.8,2.5,2. Kat,2500000.0
58,Çankaya,İncesu,2,60.0,40.0,Kombi,4.0,Bilinmiyor,Eşyalı Değil,1.0,0.564,0.167,1.1,0.477,1.0,0.521,1.2,Bahçe Katı,820000.0
59,Sincan,Plevne,3,100.0,20.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,2.0,0.18,1.3,1.1,1.1,7.9,1.9,Yüksek Giriş,1049000.0
60,Mamak,Şahap Gürler,3,102.0,18.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,7.1,0.147,2.3,0.521,4.3,8.2,0.905,Bodrum,630000.0
61,Çankaya,İlkadım,4,125.0,25.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,4.2,0.107,1.3,0.592,0.601,2.2,1.2,2. Kat,2599000.0
62,Çankaya,Aziziye,3,90.0,0.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,2.3,0.139,2.7,0.753,1.1,0.793,1.1,Yüksek Giriş,3250000.0
63,Etimesgut,Süvari,4,150.0,10.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,4.6,0.338,3.6,2.0,2.0,3.7,1.4,Ara Kat,2880000.0
64,Keçiören,Kafkas,4,145.0,8.0,Kombi,9.0,Uygun,Eşyalı Değil,1.0,3.7,0.115,2.0,2.7,0.358,4.9,3.1,Ara Kat,1939000.0
65,Yenimahalle,Işınlar,3,100.0,30.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.671,0.097,3.5,0.737,1.4,0.878,0.765,1. Kat,2050000.0
66,Altındağ,Karapürçek,4,120.0,5.0,Kombi,6.0,Uygun,Eşyalı Değil,2.0,8.9,0.466,0.666,5.9,6.8,10.6,6.1,Kot 1,1150000.0
67,Yenimahalle,Yeşilevler,4,135.0,31.0,Kombi,10.0,Uygun değil,Eşyalı Değil,1.0,0.469,0.294,1.9,0.486,0.831,2.6,1.8,8. Kat,1230000.0
68,Çankaya,Kızılırmak,5,165.0,15.0,Merkezi,10.0,Uygun,Eşyalı Değil,2.0,0.947,0.067,1.7,0.156,0.104,0.475,0.954,4. Kat,5700000.0
69,Sincan,Menderes,5,175.0,0.0,Merkezi (Pay Ölçer),4.0,Uygun,Eşyalı Değil,2.0,4.6,0.11,8.0,3.0,6.7,16.4,1.1,1. Kat,2250000.0
70,Keçiören,Ovacık,5,220.0,0.0,Merkezi (Pay Ölçer),27.0,Uygun,Eşyalı Değil,2.0,2.7,0.59,1.7,1.7,1.7,3.1,1.8,12. Kat,3649000.0
71,Yenimahalle,Yeni Batı,4,160.0,12.0,Kombi,12.0,Uygun,Eşyalı Değil,2.0,0.629,0.084,1.5,1.8,1.8,4.6,2.7,5. Kat,3350000.0
72,Keçiören,Kuşcağız,6,220.0,12.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,1.4,0.14,0.471,1.2,1.1,2.1,1.5,3. Kat,2500000.0
73,Mamak,Türközü,4,125.0,3.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.6,0.05,1.8,1.7,1.7,2.8,2.6,1. Kat,1670000.0
74,Çankaya,Beytepe,6,373.0,0.0,Merkezi (Pay Ölçer),13.0,Uygun,Eşyalı Değil,3.0,4.4,0.375,2.0,1.8,1.7,4.5,3.2,9. Kat,9250000.0
75,Etimesgut,Şeker,2,70.0,7.0,Merkezi (Pay Ölçer),9.0,Uygun,Eşyalı,1.0,1.5,0.037,4.7,1.1,1.1,3.2,2.2,5. Kat,1650000.0
76,Sincan,Tandoğan,5,160.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,2.1,0.14,0.581,0.827,0.884,9.8,2.1,1. Kat,2750000.0
77,Yenimahalle,Kentkoop,4,135.0,30.0,Kombi,9.0,Uygun,Eşyalı Değil,1.0,0.465,0.094,1.9,1.4,1.3,1.6,0.918,Ara Kat,2248000.0
78,Çankaya,Cebeci,4,140.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.383,0.379,1.8,0.39,0.562,1.8,2.5,2. Kat,2500000.0
79,Çankaya,İncesu,2,60.0,40.0,Kombi,4.0,Bilinmiyor,Eşyalı Değil,1.0,0.564,0.167,1.1,0.477,1.0,0.521,1.2,Bahçe Katı,820000.0
80,Gölbaşı,Taşpınar,3,125.0,1.0,Merkezi (Pay Ölçer),26.0,Uygun,Eşyalı Değil,2.0,10.2,0.815,5.5,3.9,3.7,3.6,3.4,Bahçe Katı,4400000.0
81,Gölbaşı,Taşpınar,3,125.0,1.0,Merkezi (Pay Ölçer),26.0,Uygun,Eşyalı Değil,2.0,10.2,0.815,5.5,3.9,3.7,3.6,3.4,Bahçe Katı,4400000.0
82,Çankaya,Bağcılar,5,220.0,0.0,Yerden Isıtma,29.0,Uygun değil,Eşyalı Değil,2.0,3.3,0.191,2.6,0.644,1.5,2.0,1.6,2. Kat,6800000.0
83,Mamak,Boğaziçi,4,140.0,3.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,4.8,0.09,1.9,2.0,2.0,5.9,1.5,6. Kat,1649000.0
84,Sincan,Akşemsettin,4,120.0,20.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.7,0.095,0.857,0.518,0.505,8.5,2.2,En Üst Kat,1050000.0
85,Çankaya,Huzur,4,120.0,24.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.5,0.232,0.409,1.2,0.537,2.6,2.0,3. Kat,1950000.0
86,Sincan,Pınarbaşı,4,120.0,8.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.5,0.13,1.1,0.727,0.749,9.6,0.778,Yüksek Giriş,1195000.0
87,Keçiören,Ayvalı,4,120.0,11.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.1,0.144,1.7,1.8,1.8,1.0,2.1,1. Kat,2200000.0
88,Gölbaşı,Kızılcaşar,2,90.0,3.0,Merkezi,2.0,Uygun,Eşyalı,1.0,8.3,0.709,5.0,0.929,2.4,1.0,0.779,1. Kat,2040000.0
89,Çankaya,Tınaztepe,3,80.0,0.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,0.874,0.301,0.952,0.572,0.577,0.787,0.986,Ara Kat,2950000.0
90,Pursaklar,Merkez,4,125.0,21.0,Kombi,3.0,Uygun değil,Eşyalı Değil,1.0,4.8,0.314,1.5,1.5,0.838,8.0,5.1,2. Kat,1450000.0
91,Altındağ,Solfasol,4,140.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,2.3,0.075,3.2,2.5,2.6,4.8,1.8,2. Kat,1850000.0
92,Sincan,Tandoğan,4,120.0,10.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.9,0.122,1.5,1.4,1.4,10.5,1.8,1. Kat,1550000.0
93,Keçiören,Atapark,4,145.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.0,0.19,1.8,1.3,1.1,2.2,1.4,1. Kat,2749000.0
94,Keçiören,Kamil Ocak,4,125.0,0.0,Kombi,10.0,Uygun,Eşyalı Değil,2.0,0.507,0.121,1.6,1.1,1.1,3.4,1.5,2. Kat,3050000.0
95,Keçiören,Kanuni,4,130.0,14.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.1,0.043,1.3,2.0,1.0,4.7,2.5,Yüksek Giriş,1189000.0
96,Mamak,Boğaziçi,4,150.0,4.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,5.1,0.172,2.3,1.7,2.3,6.2,1.2,6. Kat,1659000.0
97,Mamak,Boğaziçi,4,150.0,4.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,5.1,0.172,2.3,1.7,2.3,6.2,1.2,6. Kat,1659000.0
98,Pursaklar,Fatih,4,125.0,11.0,Kombi,3.0,Uygun,Eşyalı,1.0,5.6,0.208,0.712,1.2,1.3,8.8,5.9,3. Kat,1655000.0
99,Keçiören,Etlik,4,140.0,16.0,Kombi,13.0,Uygun,Eşyalı Değil,1.0,2.8,0.056,1.1,0.566,0.566,1.9,2.0,13. Kat,2000000.0
100,Çankaya,Naci Çakır,4,115.0,27.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.4,0.238,1.1,0.315,0.323,1.9,1.6,1. Kat,2140000.0
101,Mamak,General Zeki Doğan,4,120.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.6,0.035,0.864,0.731,0.721,4.4,3.0,1. Kat,1275000.0
102,Keçiören,Karakaya,4,140.0,4.0,Kombi,4.0,Uygun,Eşyalı,2.0,5.2,0.077,2.0,4.1,1.3,5.3,3.2,4. Kat,2089000.0
103,Çankaya,Naci Çakır,4,110.0,26.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,4.5,0.259,1.0,0.298,0.306,1.9,1.6,Bahçe Katı,1550000.0
104,Mamak,Yeni Bayındır,4,130.0,3.0,Kombi,8.0,Uygun,Eşyalı Değil,2.0,9.1,0.347,0.356,2.3,6.3,10.2,2.8,1. Kat,1345000.0
105,Etimesgut,Süvari,3,112.0,17.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.9,0.321,3.4,1.6,1.6,3.8,1.5,1. Kat,1438000.0
106,Sincan,Mareşal Çakmak,4,120.0,20.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,2.6,0.114,0.64,0.655,0.824,8.3,1.6,Yüksek Giriş,1279000.0
107,Etimesgut,Süvari,4,145.0,9.0,Kombi,12.0,Uygun,Eşyalı Değil,2.0,4.2,0.161,3.5,1.9,1.9,3.7,1.4,3. Kat,2735000.0
108,Çankaya,Keklik Pınarı,5,220.0,23.0,Merkezi,12.0,Uygun,Eşyalı Değil,2.0,6.0,0.233,1.4,2.3,1.8,2.6,1.9,En Üst Kat,5275000.0
109,Keçiören,Atapark,4,140.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,2.2,0.293,1.7,1.4,1.3,2.6,1.4,1. Kat,1587000.0
110,Keçiören,Esertepe,4,150.0,7.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,2.4,0.142,0.557,1.4,1.4,1.3,2.5,1. Kat,2085000.0
111,Mamak,Akşemsettin,4,155.0,4.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,6.0,0.032,2.1,1.8,3.1,6.8,1.4,Kot 1,1549000.0
112,Etimesgut,Süvari,4,130.0,16.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.1,0.158,3.3,1.6,1.7,3.9,1.6,3. Kat,1590000.0
113,Keçiören,Yayla,4,125.0,15.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.2,0.108,1.4,1.9,1.9,0.541,2.6,Ara Kat,1625000.0
114,Altındağ,Karapürçek,4,145.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,7.9,0.215,1.8,6.6,6.8,10.1,6.7,2. Kat,1750000.0
115,Sincan,Menderes,4,135.0,0.0,Isıtma Yok,3.0,Uygun,Eşyalı Değil,2.0,3.1,0.043,6.4,2.9,5.3,15.1,0.903,3. Kat,1970000.0
116,Mamak,Mutlu,3,110.0,9.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.0,0.071,0.07,1.4,1.4,4.6,2.7,Kot 1,829000.0
117,Mamak,Şahintepe,4,130.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.0,0.069,0.796,1.2,1.2,4.9,2.6,3. Kat,1343000.0
118,Keçiören,Yükseltepe,5,190.0,4.0,Merkezi,18.0,Uygun,Eşyalı Değil,2.0,4.3,0.036,1.3,3.5,3.5,1.1,1.7,10. Kat,4250000.0
119,Sincan,İstasyon,4,120.0,20.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,1.9,0.177,0.318,0.511,0.515,9.4,2.1,1. Kat,769000.0
120,Mamak,Cengizhan,4,140.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,5.1,0.158,1.1,2.4,2.4,5.4,1.6,Ara Kat,2000000.0
121,Yenimahalle,Turgut Özal,5,200.0,0.0,Merkezi (Pay Ölçer),28.0,Uygun değil,Eşyalı Değil,2.0,2.2,0.222,0.312,3.3,3.3,4.8,3.3,1. Kat,4350000.0
122,Sincan,Pınarbaşı,4,125.0,12.0,Kombi,4.0,Uygun,Eşyalı,1.0,4.1,0.105,2.0,1.6,1.6,10.1,1.3,Yüksek Giriş,1195000.0
123,Mamak,Durali Alıç,4,150.0,6.0,Kombi,9.0,Uygun,Eşyalı Değil,1.0,5.6,0.121,1.8,2.2,2.7,6.3,1.7,4. Kat,2250000.0
124,Sincan,Pınarbaşı,4,140.0,12.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.6,0.132,1.3,0.891,0.914,9.8,0.884,2. Kat,1429000.0
125,Mamak,Cengizhan,8,360.0,0.0,Yerden Isıtma,16.0,Uygun,Eşyalı Değil,5.0,5.6,0.17,1.3,2.9,2.9,5.7,1.1,16. Kat,6150000.0
126,Etimesgut,Bağlıca,5,190.0,4.0,Yerden Isıtma,10.0,Uygun,Eşyalı Değil,2.0,5.6,0.214,6.1,4.2,6.1,2.7,4.9,7. Kat,4999000.0
127,Keçiören,Şenlik,4,120.0,35.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.616,0.446,0.746,0.989,0.728,3.3,1.4,Yüksek Giriş,1895000.0
128,Sincan,Osmanlı,4,125.0,23.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.9,0.195,1.4,0.696,0.723,9.5,0.383,Ara Kat,1359000.0
129,Altındağ,Başpınar,4,150.0,3.0,Kombi,7.0,Uygun,Eşyalı Değil,2.0,5.3,0.079,0.731,4.7,4.7,7.4,4.4,6. Kat,3000000.0
130,Çankaya,Güvenevler,4,135.0,35.0,Merkezi,4.0,Uygun,Eşyalı Değil,1.0,2.0,0.176,2.3,0.192,0.616,0.223,0.722,3. Kat,2460000.0
131,Keçiören,Atapark,4,140.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,1.9,0.122,1.2,1.2,1.1,1.8,1.4,Yüksek Giriş,1799000.0
132,Mamak,Akdere,4,140.0,18.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,1.4,0.062,2.5,1.2,1.3,2.1,2.8,2. Kat,1650000.0
133,Yenimahalle,Yeni Batı,7,325.0,5.0,Kombi,12.0,Uygun,Eşyalı Değil,3.0,0.784,0.149,3.8,1.6,1.6,5.3,0.953,11. Kat,5825000.0
134,Etimesgut,Bağlıca,5,190.0,0.0,Merkezi (Pay Ölçer),9.0,Uygun,Eşyalı Değil,2.0,5.6,0.222,6.1,4.2,6.0,2.7,4.9,6. Kat,4399000.0
135,Mamak,Mutlu,3,115.0,5.0,Kombi,3.0,Uygun,Eşyalı,1.0,3.0,0.047,1.2,1.3,1.3,3.4,3.2,Kot 1,950000.0
136,Çankaya,İlkadım,4,120.0,29.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,4.2,0.12,1.1,0.405,0.412,2.2,1.3,Yüksek Giriş,2300000.0
137,Altındağ,Hacettepe,3,100.0,40.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,0.751,0.027,0.469,0.291,0.211,1.2,1.6,4. Kat,2700000.0
138,Yenimahalle,Turgut Özal,5,185.0,4.0,Merkezi (Pay Ölçer),18.0,Uygun,Eşyalı Değil,2.0,1.5,0.253,1.2,2.3,2.3,3.7,2.0,10. Kat,4940000.0
139,Yenimahalle,Pamuklar,4,150.0,10.0,Merkezi (Pay Ölçer),10.0,Uygun,Eşyalı Değil,2.0,2.0,0.023,1.4,2.0,2.0,1.6,1.9,6. Kat,2985000.0
140,Keçiören,Tepebaşı,4,130.0,15.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,0.139,0.134,1.0,0.649,0.881,3.1,1.0,Kot 2,1210000.0
141,Altındağ,Gültepe,4,125.0,15.0,Kombi,13.0,Uygun,Eşyalı Değil,1.0,0.914,0.106,1.3,0.436,0.39,1.9,2.9,6. Kat,1750000.0
142,Sincan,Fevzi Çakmak,4,130.0,0.0,Kombi,5.0,Uygun,Eşyalı Değil,2.0,4.3,0.069,7.6,3.8,6.6,16.4,1.5,2. Kat,1690000.0
143,Keçiören,Bademlik,4,130.0,10.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,2.0,0.146,0.234,1.1,1.1,4.4,1.6,Yüksek Giriş,1289000.0
144,Mamak,Çağlayan,3,100.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.6,0.133,2.6,0.201,0.195,4.1,3.7,Giriş Katı,890000.0
