,District,Neighborhood,Num_Of_Room,Area,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Metro_Station,Bus_Stop,Minibus_Stop,Hospital,Emergency_Service,University,Shopping_Mall,Floor,Price
8139,Mamak,Misket,7,250.0,11.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,3.1,0.074,2.0,0.573,0.584,4.4,3.1,3. Kat,1720000.0
8140,Yenimahalle,Yeni Batı,4,125.0,28.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,0.318,0.109,2.7,0.46,0.487,3.3,1.3,1. Kat,2520000.0
8141,Altındağ,Ulubey,4,150.0,4.0,Kombi,13.0,Uygun,Eşyalı Değil,2.0,3.5,0.083,1.7,2.5,2.5,5.3,2.4,3. Kat,2300000.0
8142,Keçiören,Uyanış,4,170.0,16.0,Kombi,6.0,Uygun,Eşyalı Değil,2.0,0.121,0.062,0.048,0.296,0.282,4.0,1.3,2. Kat,3250000.0
8143,Sincan,Mareşal Çakmak,4,125.0,23.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,2.5,0.142,0.973,0.99,1.0,8.0,1.9,3. Kat,1395000.0
8144,Altındağ,Karapürçek,4,135.0,11.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,7.7,0.059,2.3,7.1,7.2,10.0,6.9,3. Kat,1260000.0
8145,Keçiören,Kanuni,4,140.0,10.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,2.5,0.117,1.1,1.4,1.4,3.6,1.7,2. Kat,1497000.0
8146,Mamak,Altıağaç,3,85.0,10.0,Kombi,11.0,Uygun,Eşyalı Değil,1.0,3.5,0.019,2.5,1.2,1.2,5.1,3.6,11. Kat,1325000.0
8147,Altındağ,Gültepe,4,125.0,15.0,Kombi,13.0,Uygun,Eşyalı Değil,1.0,0.914,0.106,1.3,0.436,0.39,1.9,2.9,6. Kat,1750000.0
8148,Sincan,Fevzi Çakmak,4,145.0,4.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,4.5,0.245,7.8,3.8,6.7,16.5,1.5,2. Kat,1700000.0
8149,Mamak,Çağlayan,4,105.0,5.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,2.8,0.087,2.4,0.095,0.106,4.2,3.5,1. Kat,1395000.0
8150,Çankaya,Cebeci,4,120.0,31.0,Kombi,7.0,Uygun,Eşyalı Değil,1.0,0.059,0.025,1.7,0.325,0.543,1.8,2.5,3. Kat,2149000.0
8151,Keçiören,Etlik,4,135.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.2,0.062,1.8,1.8,1.8,1.0,2.1,En Üst Kat,1900000.0
8152,Etimesgut,Ahi Mesut,4,165.0,5.0,Merkezi (Pay Ölçer),13.0,Uygun,Eşyalı Değil,2.0,4.5,0.132,2.9,1.6,1.7,4.4,2.1,7. Kat,3590000.0
8153,Çankaya,İlkbahar,4,172.0,7.0,Merkezi (Pay Ölçer),16.0,Uygun,Eşyalı Değil,2.0,7.4,0.877,2.5,1.7,1.7,1.4,0.264,Giriş Katı,8045000.0
8154,Yenimahalle,Serhat,5,170.0,13.0,Kombi,7.0,Uygun,Eşyalı Değil,2.0,1.0,0.085,1.9,0.846,1.8,2.2,2.2,6. Kat,3300000.0
8155,Çankaya,Şehit Cengiz Karaca,4,120.0,30.0,Kombi,7.0,Uygun,Eşyalı Değil,1.0,4.5,0.115,0.352,0.578,0.493,2.3,2.2,En Üst Kat,2600000.0
8156,Mamak,Üreğil,5,219.0,3.0,Kombi,13.0,Uygun,Eşyalı Değil,2.0,8.1,0.914,1.3,4.0,5.4,7.5,1.1,11. Kat,3975000.0
8157,Keçiören,Etlik,4,150.0,15.0,Kombi,8.0,Uygun,Eşyalı Değil,1.0,2.9,0.073,1.2,0.778,0.778,1.7,1.9,6. Kat,2750000.0
8158,Keçiören,Aşağı Eğlence,4,140.0,35.0,Merkezi,3.0,Uygun,Eşyalı Değil,1.0,2.2,0.214,2.1,0.173,0.747,0.819,1.7,2. Kat,2750000.0
8159,Yenimahalle,Turgut Özal,5,150.0,5.0,Merkezi (Pay Ölçer),10.0,Uygun değil,Eşyalı Değil,2.0,0.846,0.074,1.1,2.0,2.1,4.7,2.6,2. Kat,4000000.0
8160,Keçiören,Ovacık,5,210.0,0.0,Merkezi (Pay Ölçer),15.0,Uygun,Eşyalı Değil,2.0,3.6,1.1,2.4,2.6,1.8,3.3,1.5,Ara Kat,3990000.0
8161,Çankaya,Huzur,3,100.0,19.0,Kombi,3.0,Uygun,Eşyalı,1.0,4.1,0.138,0.847,1.1,0.848,2.8,1.6,Kot 1,1299000.0
8162,Keçiören,Aşağı Eğlence,4,140.0,35.0,Merkezi,3.0,Uygun,Eşyalı Değil,1.0,2.2,0.214,2.1,0.173,0.747,0.819,1.7,2. Kat,2750000.0
8163,Yenimahalle,Turgut Özal,5,150.0,5.0,Merkezi (Pay Ölçer),10.0,Uygun değil,Eşyalı Değil,2.0,0.846,0.074,1.1,2.0,2.1,4.7,2.6,2. Kat,4000000.0
8164,Keçiören,Ovacık,5,210.0,0.0,Merkezi (Pay Ölçer),15.0,Uygun,Eşyalı Değil,2.0,3.6,1.1,2.4,2.6,1.8,3.3,1.5,Ara Kat,3990000.0
8165,Çankaya,Huzur,3,100.0,19.0,Kombi,3.0,Uygun,Eşyalı,1.0,4.1,0.138,0.847,1.1,0.848,2.8,1.6,Kot 1,1299000.0
8166,Çankaya,Yukarı Dikmen,5,185.0,21.0,Merkezi,9.0,Uygun değil,Eşyalı Değil,2.0,7.4,0.144,1.1,0.238,0.264,1.1,0.501,1. Kat,4950000.0
8167,Yenimahalle,Serhat,4,160.0,14.0,Kombi,16.0,Uygun,Eşyalı Değil,2.0,0.992,0.056,1.6,0.997,1.5,1.9,2.1,9. Kat,3150000.0
8168,Mamak,Durali Alıç,4,160.0,3.0,Kombi,18.0,Uygun,Eşyalı,2.0,5.0,0.013,1.6,2.1,2.1,5.9,1.6,Ara Kat,3200000.0
8169,Etimesgut,İstasyon,4,180.0,14.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,4.7,0.299,4.9,1.5,1.5,2.8,1.2,Teras Katı,3145000.0
8170,Keçiören,Kamil Ocak,4,115.0,30.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.771,0.066,2.0,1.1,1.2,3.5,1.1,3. Kat,1750000.0
